Protein1,Protein2
Q07889,Q13137
Q96PU8,P0C2W1
Q9BQ24,Q9BQG0
P19174,Q96JN2
P13569,Q9BRS2
P18859,P78317
P78362,Q96SU4
P54252,Q8N1B4
P43243,Q15051
P53618,P20936
Q9BXM7,O15294
Q01804,P30154
Q9Y2D8,Q00341
Q14781,O43166
Q5T5P2,O76064
Q9NQ48,Q96GF1
Q969T3,Q99728
Q86UE8,Q93034
Q8N6H7,O43660
Q92538,Q9Y5S9
Q14289,O43896
O75400,Q4V328
O76064,Q08345
O43752,Q13618
O95714,Q15058
P38432,Q14134
P35573,Q5T7N2
Q9BVG8,P12956
P26368,Q4G0J3
Q53EZ4,Q13228
P56537,P28288
P05455,Q9Y6V0
P25963,Q8N684
P35222,Q9ULW0
Q12788,O14874
Q96RL7,Q9BT92
Q9Y4I1,Q8TD19
Q8IX03,P42694
Q9NPJ6,P48444
P19338,Q71RC2
Q8NFZ5,P04629
Q7Z7L1,Q13620
Q9UNK0,P62316
Q9P2W1,A9Z1Z3
Q12788,Q9Y6H3
Q9Y6I3,Q9BTX1
Q9GZT6,Q9NX55
Q9NPG2,Q8NHP6
Q8TAT6,O00212
P19419,P54577
Q9H0M0,Q9NS91
Q9BYZ6,Q58EX7
Q9UNF0,Q9NRI5
Q9Y570,Q9UPR3
P07919,Q6ZR37
Q13671,Q9BWG6
O76071,O00231
Q9BRR8,P46937
Q9H074,P0C1Z6
O15016,Q12849
Q08AE8,P61962
Q5VT52,Q9H2G2
Q86UY6,O14836
O95071,O00217
Q8IUH5,Q92624
Q96HW7,Q14677
P10636,Q15051
P14866,O75558
Q8TCJ0,P22830
Q5BJF6,Q9Y5Q9
Q86VQ0,Q08379
P51572,P49406
P22314,Q8TAD8
Q53T59,O43426
Q9Y3Q8,P15735
P45954,P54098
P27708,Q9H2D6
Q15058,O76064
Q7Z419,Q92614
Q96FS4,P14866
O43752,O60566
Q7Z6Z7,Q5M775
O75400,Q8N5H7
Q9UHA4,Q8TB36
Q9Y3C5,Q9NZN4
Q13064,P05783
O00541,Q9BQ67
O94874,Q9Y2Z4
Q9NPJ6,P57078
Q15051,Q71F56
Q96PK6,Q8N983
O94874,P15559
O75674,Q14498
Q9NS56,Q15058
Q9BZZ5,Q15058
Q9UBC2,P10636
Q05519,Q9NRR6
Q86UW9,P40939
Q9BVK6,Q92900
P27144,Q86VM9
O60313,Q92615
P47974,Q86VY4
O94763,P09619
Q13242,Q69YN4
Q9NX07,P35052
Q5SQN1,Q69YQ0
P61978,Q9UKK9
Q13825,Q9BZB8
Q8N983,Q5JR59
Q96TC7,Q9Y512
Q7Z6Z7,Q16543
Q00613,Q96PU5
O15226,Q9NZ43
Q96LB3,P60900
Q92804,Q9Y4C8
Q13393,P21860
P38432,P10636
P55199,Q99959
Q01105,P36894
Q9UBN7,Q969S9
Q9Y4W6,Q15056
Q9ULC8,O14744
O94992,O15155
Q86VM9,P46937
Q15628,Q12986
Q8N5V2,Q8WVD3
Q96AC1,O14893
Q5SW79,Q9Y4P3
P78332,O75832
Q69YN4,P33981
P02144,P36406
P46821,O95661
A6NHR9,Q9Y2U8
P51617,P35240
Q15811,O15116
Q9NP79,O14578
Q9UHA4,Q9Y613
Q12802,O43463
P55072,Q16864
O95613,P20936
O75934,Q9H6L4
Q9UNE7,Q96L15
P78362,Q99816
P21127,Q9NYZ3
P51572,Q02880
O00232,Q96PK6
P40938,P61764
Q96IZ5,Q13616
P78406,Q9UQC2
P61964,Q9BY44
Q14194,Q14671
Q7Z695,Q8WTP8
O95661,Q99741
P08559,Q13164
Q9UHX1,Q14318
P09496,Q9GZS1
Q9GZT3,P07919
Q8N122,Q9Y3F4
Q9BWT6,Q96FV2
P19525,P78317
Q96C24,Q16666
Q7L2Z9,P33993
Q6N021,P60468
Q92769,Q13501
P33993,Q92615
P11308,Q05086
Q13724,Q92769
Q6ZW49,P78362
O00322,Q08379
Q86UA1,O43663
O95835,Q07666
Q16512,Q7Z2W4
Q7L590,Q99623
Q9NRR6,Q8TAD8
O95714,O95639
O95835,Q9NQS7
Q13049,Q9UK41
Q5VTB9,O95714
Q96PV0,Q5U651
A4D1E9,Q9UPQ9
Q13263,Q12766
P49720,Q9BWH6
P08133,O14654
Q9NQU5,O15068
Q8NI35,O00161
O14776,Q13137
Q14432,Q8N7C3
Q9NR56,Q8WWM7
O75901,Q5TZA2
O14777,Q9GZT8
P11274,P25963
Q5VVH5,P18206
P14866,Q9BYG3
Q6P1K2,Q9BVK8
P42858,Q9HBD1
Q8WXW3,Q96MA1
P09543,Q6NXE6
Q99759,P13569
P50570,Q4G0J3
P56545,P62304
Q08379,Q16630
P17980,P14866
O95544,Q96HW7
Q9C0B0,Q96LJ8
Q14152,P36957
A6NGH7,Q53EL6
Q12934,Q08379
Q5U5X0,Q01433
Q13352,Q9H4M7
O14879,Q9UBK9
O94887,P36957
Q9UQQ2,Q9NVR5
P31943,Q96JB5
Q9NRI5,Q6ZNJ1
Q96R06,Q96QZ7
P42704,Q9H8Y8
P40937,Q7Z5L9
P11172,Q9HCU5
Q9NZZ3,Q9BXY8
Q8TDB6,O60381
Q9Y2J4,Q7LBC6
Q9BRL6,Q01081
Q7RTV0,O95163
P33992,Q15758
Q8TDR0,P78332
O15287,Q9BQA1
Q9C029,Q9P0P0
Q96FV2,O60381
O14617,P62995
Q15036,Q58EX7
Q9Y487,P56537
Q969R2,O75592
P13995,Q04323
P49761,A4D1E9
P40939,O95816
P38398,P20290
Q6I9Y2,Q13627
P31943,Q8N1B4
O15381,Q9HC52
O95229,Q8TBA6
Q8N7W2,P49736
Q9H9L4,P68400
Q5JR59,O15550
Q92945,Q13200
Q9HCJ0,Q13794
P63211,Q5S007
Q9NYB9,Q6PI77
O94818,Q6RW13
O15357,O96008
Q92786,O43663
Q9NW13,Q9HCC0
Q8TBB1,P49790
Q14258,Q8NB90
Q9HCE1,Q6KC79
A5YKK6,Q96EZ8
P04114,Q969S8
Q66GS9,Q01844
P02545,Q9HCJ0
O00257,P55072
O15021,Q9UQ80
Q96PM5,Q9P227
Q9H8Y8,P29144
P07949,Q96CW1
Q15427,Q13233
Q969R2,Q92575
Q15029,Q99741
P62753,Q8TBB1
Q9Y5M8,Q12797
P46108,O95336
Q9UPS6,Q9Y3C5
Q7Z460,Q9H892
O60341,Q07065
P53041,P49406
P50402,Q14137
Q9BXB5,Q9BW27
Q9Y375,Q9UKE5
Q7Z699,P78317
Q9C005,P31948
Q96AQ9,Q14643
Q07065,P31943
P55072,P17980
Q99426,Q9UKA4
P61201,P29590
Q02880,Q96T52
Q6IQ23,Q9BTE6
Q5SW79,O60381
Q00987,Q9NW82
P45954,Q9BQ67
Q9C005,Q8N1B4
Q76FK4,O94874
Q9NRC1,Q96RP9
Q9UL15,Q13148
P35568,P10636
Q9HAU0,O14974
Q96EA4,Q9P0V3
Q9NRR6,Q9Y5X1
Q9UKG1,Q92574
Q14315,P78362
Q15029,Q92619
P04792,Q9HCE7
P49736,Q9BYN0
Q69YN4,P51116
Q8NEH6,Q8N4C6
Q8N9B5,O43390
O00560,P49959
Q9Y4I1,Q8N684
Q2KJY2,Q9UJZ1
Q9BST9,Q9H081
P08559,P32519
Q15007,Q9HCE7
Q9HCE1,Q9P021
P27816,Q96KP6
Q13190,P11498
Q15029,Q9Y6D6
O43175,Q12846
Q10567,Q96LK0
Q9BPZ3,Q7Z5K2
Q16630,P55735
Q9NV66,Q9NSE4
Q9NRI5,P56537
Q86W92,O43303
O14979,Q8N1B4
Q14643,P49736
P57081,Q99816
Q9NRI5,Q13625
Q9BXF6,O75691
O14777,Q15287
P25705,Q9Y6K9
Q49A88,P45954
Q6UWP8,Q8TEW0
Q9UGK8,Q00987
P35240,Q12834
Q14315,Q4G0J3
Q02241,Q9UHV9
Q9BZR9,Q86YT6
O95163,Q96LZ7
P68400,Q9Y285
Q9H267,P0DPB3
Q9H8Y8,P43405
Q00597,O14556
Q8WU79,Q96ST3
Q9NRZ9,Q9H3S7
O15042,Q99816
P47974,Q12834
Q8IWW6,P46940
Q9NXF1,P17980
Q9H8Y8,Q02880
Q9H6E5,Q02880
Q9NVC6,O43809
Q6P2H3,Q9UJX5
Q9ULH1,Q96BD8
O94875,Q9ULH1
O95801,Q15025
Q9NW38,O60313
Q08379,O75914
Q8IX90,O00267
Q676U5,Q9BT25
Q71RC2,Q13393
Q15382,Q5T0T0
P36543,Q8N5U6
Q9BRR8,Q9UBL6
Q9BWC9,O00459
Q9NRG9,Q6PI77
P12004,Q99759
P27144,Q9NPF5
Q9HCC0,P27816
Q58WW2,Q8TCT1
P52272,P30154
Q9BVG8,Q9BXM7
O94992,Q8N4S9
P38432,Q8TAD8
Q4G0J3,O95159
O14744,P19838
Q92804,Q9Y4J8
Q8IUD2,Q96EA4
P61129,O00257
O95295,Q13191
Q13200,O00443
Q15038,Q9BZD4
Q9UPN9,O94826
Q8TEW8,Q08170
O14929,Q6Q0C0
Q05086,Q86X10
Q8NBT2,Q8TBB1
Q9BXU1,Q9Y4E6
Q86TM6,Q9P2E8
A4FU01,P17980
O96019,P04114
P53803,Q13751
Q38SD2,Q9BSJ8
Q6KC79,O15213
O43502,Q15029
Q96CS2,O43175
Q9BYN8,Q8N5D0
Q86UP2,Q8N465
Q9UHD8,Q9UHA4
Q9NUG6,Q15147
P31948,O60826
P33316,Q13620
O95749,P11362
Q9Y5K6,Q9Y6K9
Q6I9Y2,Q96GA3
Q9Y6M4,P25788
P51149,Q5HYI8
O60841,O60341
Q9C0B0,P61962
Q9BYZ6,Q9NWX5
Q9NWF9,Q15149
Q8IUI8,O60306
O14733,Q9H8V3
P12757,P52815
P46199,P49792
P43652,P30273
Q13112,O60437
P62314,O95613
Q15058,Q96DI7
Q9P0K7,O95319
Q7L0Q8,Q9BXW9
P12956,Q13627
P08621,Q66GS9
Q9BYE7,O94992
Q9Y2T2,Q9NRD5
P01375,P04629
P00558,Q9NZJ4
Q8WZ74,Q14258
Q9UHD8,O14777
O15226,P61964
P25205,Q96S44
Q96S55,O95163
Q9C0E8,Q9GZS1
Q9ULT8,O60701
Q08379,Q13616
Q13526,P57737
Q9Y6R9,Q9NTJ3
Q5JTH9,Q9NWX5
P51617,O75832
Q9NZQ3,Q9P2E9
P06753,Q9H270
Q13617,O43318
Q86UA6,P51159
P55884,P51948
Q9Y230,Q9NW82
Q8N6Y0,Q9H8V3
O43747,Q9NXL9
P21673,P46734
P62314,Q6P1L8
Q8N8S7,Q9Y4D1
P68400,Q9UNE7
Q9UQL6,Q96Q89
Q15058,Q13480
O95817,Q13546
Q5VZM2,Q13033
Q9NYP9,Q7RTS9
Q13616,Q8IZY2
P19338,P62826
Q15758,Q3MHD2
Q92541,Q9NRI5
Q13439,Q9BZE1
Q8IYP9,Q16610
Q5VT52,P52735
P62318,Q96DX7
O60285,Q13435
O95235,Q86UA6
Q9NRL3,Q9BYE7
Q9HCN4,P51149
O43255,Q92900
Q2M1P5,Q9BUH8
O95661,Q14966
P52429,Q9HCH0
P49675,O15524
P62753,Q9BSI4
P07099,Q96CA5
Q7KZ85,O94874
Q9H4P4,P28070
Q9BRK4,Q9NZZ3
O43264,Q15773
O14920,Q99797
O14548,Q15287
O60641,P11532
Q676U5,P00558
Q6ZR37,Q9BXW9
O14777,O00459
Q8TEH3,Q5XPI4
Q99698,P20794
O95405,P31943
Q96G01,Q9NSE4
Q9UEW8,Q13033
Q15628,Q8N960
Q9UQL6,Q16666
Q15118,O75694
Q96CW5,Q9Y6D9
P42858,Q7Z6G8
P62913,Q9Y5W9
P33992,Q9UK32
Q8TDY2,Q9BZC7
P55209,P20290
Q8TBA6,O94972
Q9NX20,Q92622
P60468,Q96Q89
P56537,O94826
Q8N1B4,P55884
P10721,Q7Z5K2
Q9Y5B9,Q9UQ80
Q6ZVF9,Q14999
Q9H7L9,P46940
O14777,Q8IX03
Q96AE7,Q9Y613
Q9P1Z2,Q8TD31
P42696,Q96F24
P49703,P37198
Q9Y3F4,O95232
Q9Y2Z4,A1L390
Q6W2J9,O95163
Q14247,Q9H6T0
Q13469,P51991
O75031,A4D1E9
Q9BXM7,Q96TA2
Q9NQT8,O75385
P40925,Q9HBD1
Q9P2N5,Q9BYF1
O43347,Q7Z4H7
O14788,P78406
Q08426,Q96QF0
Q9BVC6,P30084
Q03468,Q8IY63
P25789,Q9NSE4
P30085,Q9NQW6
Q9P0V3,Q9P2R3
Q96G01,Q8IZW8
P02545,Q8N3E9
Q96ST3,O94972
Q15831,Q9P1Z2
P09496,Q96IZ0
Q13439,Q00987
Q00987,Q5T5P2
Q92918,P12956
Q9UNM6,Q8N5U6
Q14671,P53367
Q6ZU52,Q13098
O15381,P14317
Q53GS7,Q96TA2
Q8WXE9,O75530
Q9BXM7,Q6P1S2
Q9C0J8,Q58EX7
P46937,Q96EV2
P57105,P42704
P49354,Q07065
P61978,Q9Y3L3
O95299,Q0VF96
Q68BL8,Q676U5
P42679,P35250
Q12929,Q9UK32
Q16630,O00203
Q96PY5,Q5HYC2
P21860,Q14CX7
P00540,P81274
Q5VU43,P21860
Q8TEP8,Q9Y5Q9
O76071,P06733
Q12959,O14641
Q5T5U3,P40926
Q8N7C3,Q9H0U9
Q9NRI5,Q7LBC6
Q9BQA1,Q9H000
Q8N3L3,P51955
Q9Y6K9,O43678
P25205,P61221
P49721,Q14194
Q9Y2J4,Q9Y282
Q5S007,Q14565
Q9BZF1,O14578
Q96EF0,Q99457
Q9UN86,P51149
P15924,Q658Y4
Q04637,P52948
Q5M775,Q13148
P12956,P10636
P62258,Q6DKK2
Q8TAT6,Q13011
O60645,Q02241
O95816,Q8IWZ5
P01579,Q15029
Q9BSM1,Q13418
P14866,P31483
Q9Y4A5,Q92538
Q9NVI1,P51116
Q9HAQ2,Q5T200
P52948,Q6PID6
Q9UBT7,Q9NW13
Q14247,Q9UHB9
Q8N7C3,Q69YN4
Q5T7N2,P42858
P25788,Q86Z20
Q9UHD2,Q9BVA0
Q02156,Q92925
Q8TB24,P04792
Q9UKE5,Q9ULH1
O75150,P36507
Q13439,O43639
Q9UNE7,Q15669
O75530,P84098
Q9UBC2,Q13618
O95749,P55072
Q9BYB0,Q9NPF4
P30085,Q9C075
Q8NHH9,Q9P0L0
O43752,Q8N960
Q6PJI9,P23246
O14964,P02545
P25705,O00212
P40926,Q9BRR9
Q86UY6,Q93034
Q15029,Q7Z6K4
P36507,O95235
Q8TBB1,Q14676
O75182,P35711
Q8N6K7,Q14807
Q6UB99,P42858
Q9NQP4,Q676U5
Q86SE9,Q96GG9
Q8NEV8,Q9H0H5
Q9H000,Q13057
O14544,Q14005
Q3KP44,P61587
Q9BYD3,Q15075
Q9P2R7,P11047
P42704,Q9Y3R0
Q9BYF1,Q9GZT3
Q5U5Q3,Q9UGJ1
P68400,Q15714
Q86SQ0,Q9UQB8
O95229,Q9Y2T2
Q9BZZ5,Q8IVW4
Q5GLZ8,Q96RP9
P42858,Q8TES7
Q14254,P08559
Q9H4M7,Q8NF91
Q9BVG8,P53367
P26368,Q0VF96
Q7L0Q8,Q14974
P55735,Q13263
P47756,Q9P2E3
P31943,Q92615
P62826,Q13315
P78527,O43353
P04843,P11177
Q6N021,Q13823
Q92947,Q658Y4
Q8IZE3,Q6KC79
Q9BQA1,Q5SQH8
Q07065,Q9H967
Q5S007,P20290
Q14247,Q96PV0
O95816,Q9HC77
Q92597,Q13873
Q15287,Q9NX20
Q96EU6,Q9Y4I1
Q15637,P13693
Q99741,Q8WW24
P36894,Q15751
Q13263,P13639
Q8TD55,Q13501
Q05655,B2RTY4
P15036,P28370
O60841,P14866
Q9UNE7,Q9P2R7
P07948,O94842
O75665,Q9BVP2
O43310,O95661
O14641,Q96JH7
Q14204,Q5U5X0
Q9UQF2,Q99961
Q9NWH9,Q9NX70
Q9Y295,Q92625
Q9UNK0,Q96QC0
P15036,Q9P258
Q93034,P43403
Q9Y2S2,O95163
P36888,Q9ULG6
Q8TD43,Q15569
Q12802,Q9Y3M2
Q9ULW0,Q96QT4
Q9H4B6,Q15363
P35222,Q9Y4I1
P55345,Q8TBB1
Q8TAT6,Q9Y6M1
Q99700,Q8N122
Q9NYJ8,Q7Z406
P61962,P53992
P36639,Q9NQW6
O75923,Q96F07
Q9BXM7,P41161
P52306,O14578
Q9BPX3,Q8TEX9
P52815,O14526
Q16659,P62304
Q13618,Q6NTF9
Q16659,P18754
Q9UBN7,Q13526
Q9Y4D1,O94979
Q13610,O75570
P49792,Q7Z6Z7
Q9Y297,Q13501
Q86X27,Q9H4M7
Q9P270,Q8TER5
P27144,O95405
Q8TF05,P11413
O60341,Q96QF0
Q15006,P20042
Q8NFZ5,P06733
Q9Y2J4,Q8TED0
P68400,Q01844
Q9Y3Z3,Q969S9
Q8NFZ5,Q8NEY1
O00161,P27816
Q8NEF3,Q9BRS2
P04629,P42858
P50570,Q14764
Q9BZV1,Q8NCY6
P28288,Q15714
P13569,O14492
Q8IUD2,Q9UBP9
Q6YHU6,Q99683
Q96KQ4,Q6IPR3
Q08379,Q13427
Q8WXI4,Q99417
Q9NRD5,Q9Y223
Q9BT92,P49756
Q13387,Q9BQ52
Q13263,Q9NW13
Q9HAD4,P10721
P62310,Q9H0W8
Q92769,Q9BQ67
O15226,O15294
O94972,O43482
Q6VAB6,Q9HCD6
O14578,Q14457
P35611,Q96LB3
P61964,P38606
Q9Y487,Q16666
Q96RG2,Q9NP66
P13639,P00540
Q96S44,Q08378
P52272,Q96T52
Q9H147,P35222
Q9NPE2,P15924
P56945,P28288
Q9Y4P8,Q14BN4
Q69YN4,P62875
P55072,Q15645
Q8TEQ0,O75477
Q9UBN7,Q00987
Q9H4M7,P46108
O94874,Q9BRL6
P55196,P07910
Q14980,O15020
P38606,Q9NSE4
Q99759,Q9UHB9
Q8NI36,P58546
P35240,O75486
Q15051,Q14BN4
P05455,Q8TF21
Q96PU5,O15294
P18615,Q13617
Q8N6D5,Q32NC0
Q8WTS1,P46937
Q8NF50,Q99996
O43663,Q99436
Q96NL6,Q9Y333
Q9NUQ8,P19174
O00461,P30154
Q96MT1,Q16401
Q13825,Q96PK6
P14866,Q92624
Q15269,P43246
Q6ZU80,Q9UQB8
Q96CS2,Q9C005
Q9NYM9,P49796
Q13616,O94906
Q5U651,Q16659
Q96RP9,Q9BW27
Q4G0J3,P38606
Q14669,O94925
Q96RR1,Q9Y4Z0
Q9Y2D8,O75935
P53621,Q16186
Q00987,Q86UY6
Q9Y577,Q8WVD3
P98082,Q9Y285
O95232,Q6ZNE5
Q13873,Q15287
P35222,Q5VZM2
P55072,Q99683
O14745,Q9UGJ1
Q9ULT8,P48681
Q2TAC2,P56537
Q8NEN0,P35222
Q14999,Q9ULW0
Q86UW6,Q14258
Q504Q3,Q04637
Q96RK0,Q13616
P52630,Q99728
P49406,P49792
Q13049,P51957
O60551,O75914
O14964,Q14247
Q13490,O00231
O75323,P46734
Q8WWF5,Q5TCZ1
Q6IQ23,Q9Y2X7
O43663,P29323
Q8TBB1,Q12873
O43463,P50548
O75791,O75400
Q13310,P61221
Q9H0A0,Q14318
Q9H267,P46778
P08559,Q14966
Q13617,P42338
Q16543,P62316
P35222,O15213
O75410,Q14203
Q6ZT12,P17980
A5YKK6,Q96MF7
Q13616,Q9UJY4
Q9NW82,O15155
Q9BRS2,Q9Y3D8
Q9ULU8,Q14671
Q9Y2R5,Q8IX04
P55735,P25705
P14678,O60645
P46937,Q96CS2
Q7Z7G8,O75159
Q8NFZ5,O94927
P05387,P06213
Q9UGI0,Q6ZMZ3
Q12959,Q9UQ80
Q63ZY3,Q8N488
Q13009,Q4KMZ1
Q9Y297,Q8NFW8
Q5C9Z4,Q92466
Q15058,P25098
Q07864,Q7Z6Z7
Q15751,P51957
Q9H4B6,Q9NP31
Q7Z699,Q9Y5B9
Q9UK73,Q0VF96
Q16630,Q9P2W9
O75083,Q5U5Q3
O14979,Q15831
Q8TDR0,O43639
Q96QC0,Q99558
Q9BUL8,P42704
Q8TES7,Q6ZTA4
Q5S007,Q9P2S5
O75179,Q9NVT9
Q5T4D3,Q15029
P43246,Q9NVJ2
Q3B820,O43318
Q9Y291,P62258
Q92734,Q5TCZ1
Q9BXF6,Q9UMS4
P46199,P19338
P60228,Q9NRC1
Q15020,P62258
Q53HL2,P50402
Q8IY31,P49755
Q9BZF1,Q13976
P09874,P38432
Q9H672,Q68DV7
Q14566,Q13163
Q08345,Q9Y282
Q13099,O75558
Q5JWF2,Q96EV8
O14929,Q9Y3A6
P05387,Q5HYJ3
Q13356,P33991
Q14999,P25098
Q9HCD5,Q15669
Q9H7D7,Q9NRW7
Q9H0U9,P13569
P42331,Q7Z434
Q96RK0,Q96TC7
Q96EP0,Q96T60
P20290,Q9BQ67
Q8IWT3,Q6ZNJ1
Q15628,P78362
P38432,A7E2Y1
Q92945,Q9P1Y5
P49915,Q7Z569
P26368,Q14244
Q15058,Q9UL15
Q9H0H5,Q6ZU80
Q13620,P08574
O95858,Q8IWC1
Q7L2Z9,Q9Y2T2
Q8TDY2,Q96LU5
Q8IYT4,P09619
Q8TES7,P19174
Q8N5R6,Q15283
P31948,O15360
Q8NI36,Q13148
Q14318,Q16531
Q8WX92,Q9Y2I8
Q02241,Q9UJW9
Q9NQ48,Q9UK22
Q9UPR0,P02549
P11362,Q86US8
Q5VV42,O15067
Q969H0,Q9ULW0
P07998,Q9GZT3
P19838,Q9BZL4
Q15058,Q8NCE2
P14373,Q5SW79
Q86TG7,Q13352
O95376,Q12933
P62753,P51116
Q15058,Q8NI27
P37198,Q9Y575
Q14258,Q16666
P42858,Q5JTH9
O14579,P49736
Q7L5Y9,Q15287
Q15061,Q7Z699
P61978,P57052
Q13439,P08559
O60674,P23246
Q9Y3R0,Q16543
P60033,Q7Z6Z7
P79522,P40937
P98170,Q9NZQ3
O14578,P52815
Q12846,Q12933
Q14980,Q5SW79
Q12873,Q5GJ75
Q8TD19,Q12955
Q155Q3,O60518
P41743,Q658Y4
Q86VP1,P11413
O75179,Q92974
Q9H672,Q9Y297
Q96H55,Q9NP79
P47756,Q9H0B6
Q7Z2W9,Q9HCU5
P27144,O14678
Q6UXN9,O00231
P78527,Q9P2W9
P49590,Q8IZU3
P28331,P51159
Q676U5,Q14204
O94874,Q9NQ40
Q9BZF9,O94986
P35222,Q9H0W8
O95835,Q9H0B6
Q96F07,Q15714
P51991,Q96D71
Q969H0,Q5U5X0
P49761,Q9Y2V7
P60033,P55345
Q9NQW6,Q9NV92
Q13200,Q14671
Q9HC10,Q6IQ23
P55735,O60861
Q53EZ4,O60637
Q969H0,Q9H1B7
O43609,P36406
O95159,O43426
Q2KHN1,Q13470
P54252,Q15653
Q9H4M7,Q8TDR4
Q9H4M7,Q00987
Q4G0J3,O14879
O00212,Q8IZL8
O00116,P12004
Q16836,Q9BQ52
Q9P2E2,Q13310
P46940,Q8WXG1
Q9UPQ4,Q5BJF6
P26368,Q9BZE9
Q13263,P14174
Q7Z434,Q96QZ7
O14730,P34947
Q9H2G2,P52815
P35658,O95376
Q5QP82,Q9H4M7
Q5S007,Q86YT6
Q8TB24,Q8NFZ5
Q9H4M7,P21359
P35590,P56537
P62308,Q9P2E9
P30154,Q8NDT2
Q9BXJ9,Q13823
O14974,Q9UQB8
Q9NWB7,Q53HC0
Q04323,Q15773
Q9NYJ8,Q14318
Q14258,O43252
Q5XPI4,Q9H5N1
O95721,P20963
P79522,Q13618
Q8TAF3,O95347
Q9Y4K3,Q9P2R3
Q99550,O14862
P04843,Q9Y575
Q4G163,Q9Y580
P49790,Q96EV8
Q58WW2,P22310
Q96JP2,Q9NVC6
P13569,O60573
Q66K74,O14974
O75344,O43281
P08559,Q7L0Q8
Q3SY00,Q9NQW6
P20618,Q9NR56
Q02241,Q8TDR0
P32970,Q9BRX5
Q9H967,P35711
Q6IQ23,P05783
P46695,O14578
P22061,P49321
Q9Y680,O95072
Q13616,Q15154
O43482,P08581
Q16512,Q9BWF2
Q9NRD5,Q92545
O75494,Q9Y6V0
P04629,Q96PC5
Q9Y5Q9,Q9HCE7
O75330,Q8TEJ3
Q9H3P7,Q8WWM7
O00257,Q13064
Q9P246,Q9BRK4
Q16666,Q9BQD3
Q53GS7,Q15029
O14974,Q9H4B6
Q86SQ7,O60763
Q8WV16,Q13137
A0MZ66,Q9Y2J4
Q6PL24,Q9NRW7
Q6Q0C0,P42773
Q9UKV3,Q9UNE7
P02545,Q9BZV1
O60551,P26232
Q7Z3B4,P08621
Q69YN4,Q49A88
P14866,Q96I25
Q13263,P25963
Q86UW9,P40938
O43752,Q4G0J3
Q10567,Q13616
Q08379,P30154
O94875,Q99700
Q9UNE7,Q9H171
Q15149,P11498
Q08AD1,Q969H0
O75934,O14733
Q14444,Q8N3Y1
Q00987,O95429
P61289,Q9Y3Q8
Q6UXT9,O00257
Q14318,P03950
O95336,Q14258
P21127,Q96EA4
Q7Z460,Q9Y6N1
O60269,Q8TBB1
Q16531,Q86WA8
P00558,Q8IU60
Q12846,Q9H4M7
Q07065,O95218
Q13228,P13693
Q15149,Q9C0J8
P62316,O75616
Q8N983,Q9HCE7
Q86YR7,P13693
O14578,Q9UBQ5
Q08999,P50402
Q13425,Q9H6R6
Q9NPE2,Q96T76
Q32P41,P49720
Q8TD31,Q15036
Q15036,Q15758
Q8NEJ9,P52272
O00217,Q9Y5K6
Q9H0E2,P98179
Q6ZW31,Q05086
Q13188,Q9UPQ9
Q16543,Q96H79
P23246,Q9H6E5
P49915,P09012
P62314,Q8WU79
Q13188,Q9BV68
P25705,Q9HC52
Q14155,Q9GZV5
P07948,Q9BT78
Q00987,Q9ULW0
Q9HCE1,Q9BSM1
Q01844,Q9BYF1
P62314,B1AJZ9
Q5VT52,Q9Y6E0
Q9UER7,Q15058
Q99728,O14964
Q6ZWH5,O14578
P15735,P41743
Q9H7L9,Q2NL82
P08621,Q8NC56
O75694,Q9NXG0
Q96N67,Q68CZ1
P21860,O15294
Q9BXM0,Q9Y4P8
Q6ZMZ3,Q92925
Q9H4M7,Q8WV60
Q96EP0,Q14999
Q9HCE1,Q14677
Q14181,Q07889
P28328,Q15291
P83369,Q9H0H5
Q12774,O95661
O76083,Q13131
Q8WX92,Q8WVM8
P55010,Q8NI35
Q96EP0,Q9UHD8
Q5T8D3,O00268
Q9NX47,P40938
P04629,Q71F23
Q9H7L9,Q92625
Q9NRI5,Q5S007
O75182,Q00987
Q7Z7C8,Q96TA2
O94992,A6NIH7
Q68CZ1,Q8TDY2
O75934,Q96D59
O43752,Q9ULT8
Q9C0B0,Q9Y6H1
Q9H4M7,Q8N4C6
P52272,Q96EA4
Q9UQL6,O95639
Q9HCN4,Q13148
O95816,P22314
Q9BZV1,Q5T200
Q9UER7,Q96T76
P33993,P57078
Q12933,Q58EX7
Q00688,Q8N684
Q99972,P19838
O14578,Q9H267
P84098,Q02833
Q9H4M7,A7KAX9
P83731,P43243
P04629,Q969G3
Q9NQW6,Q9Y3M2
Q9BVP2,P42566
P49757,O43390
O75970,O95613
Q14204,O14965
Q9BYD3,Q15056
P07910,P30566
Q14498,Q9ULW0
P46934,Q92900
Q3SXY8,Q4KMZ1
Q969H0,Q8TEU7
O43684,Q96KQ4
Q13190,O76081
Q13148,Q14204
O00459,O43426
Q96M89,Q9BRS2
Q92878,Q8N7C3
Q8N6V9,Q96G01
Q9NVC6,P41252
Q9P2L0,P61201
O43609,P55209
Q9Y3Z3,P07919
Q6IQ23,Q13310
Q13131,P06733
O75694,Q93074
Q96AW1,O75530
Q9BRK4,Q96RP9
P62875,Q05397
P0C1Z6,P35222
Q9NQB0,Q9BYN8
Q01970,Q13099
Q86UX6,Q9P1U1
P24539,Q9BPW5
O15294,P05166
Q9NZN5,Q5VYK3
Q13137,Q8N6Y0
