Protein1,Protein2
Q08426,Q15025
Q14244,Q86XN7
Q13620,Q9H0J9
Q14974,O60518
P26368,P47756
Q13618,Q13049
Q96PY6,P49815
Q96DE0,P46199
Q13263,O14617
P17480,Q9Y2T2
P25963,Q9ULJ8
Q69YN4,P53804
O14578,Q9UNQ0
O15155,Q00059
Q9HCE1,Q9NWF9
Q12986,P62753
Q8N4C6,Q8NDV7
Q96QC0,Q8NDT2
O14508,Q9BWU0
P26651,Q9H000
Q08623,Q9BZH6
P40939,Q00059
O43663,P83731
P46934,Q9Y4H2
O15078,Q02790
Q99607,Q96EZ8
P46108,O14543
P05129,P36776
Q969U6,Q12774
O95714,P49756
Q8TDY2,P49257
Q01844,P62306
Q69YN4,O43909
P14866,Q9UPT6
P29372,P25786
Q676U5,Q86W42
P35222,Q14204
Q9Y5S9,Q8N3D4
Q15773,O95072
Q676U5,P55209
O75460,P53992
P56945,Q04637
P62308,Q9BWU0
Q69YN4,Q15746
P78317,Q15637
Q99558,Q9Y230
P06733,Q01105
O14492,Q9H5Z6
Q86VM9,P98179
Q9P202,Q8N5D0
Q96G01,Q9HCC0
Q14258,Q9BVK6
P28288,P49821
P06753,Q9NV31
Q9UN86,Q14258
O75382,Q8TDR0
Q8NI27,Q99640
Q14258,Q86US8
P49761,O95071
Q155Q3,Q8IUH5
Q9UL15,P31943
O00212,Q68CZ2
Q9NWB7,Q96AJ1
P78545,P41252
Q6ZRI8,O43164
Q99558,Q12797
Q9C0F1,O94927
P38398,O60341
Q14444,Q9P2D0
O60684,P62826
Q86VM9,Q9BQG0
O95235,Q14980
Q96IV0,P78362
P35222,Q76L83
P49821,P25788
P52815,Q9UHD8
Q9BZH6,Q86UY6
Q96PU4,Q8IWX8
Q6ZMZ3,O94972
Q9UDY2,Q96AY4
Q8WV44,Q6UWP8
Q9H892,Q8TD10
Q96JH7,Q96FC9
Q01844,Q9H0M0
Q9BSW2,Q14134
Q96PC5,Q9HC35
P52298,O60306
O75031,Q63ZY3
P04629,Q9NVC6
Q17RY0,Q9HCE1
Q9BVS4,P55209
P57075,O43609
Q504Q3,Q9UM54
P55072,Q96N67
Q86UY6,Q92625
Q14457,Q13618
O94874,Q14684
Q99700,Q71RC2
P47974,P46934
Q13535,O96017
Q13620,O43390
P61964,Q9Y333
P18206,Q99567
Q07666,O60907
Q6NTF9,P23434
P52815,Q13438
Q9UBN7,O95373
Q02241,P49756
O95817,Q8TD19
Q9BUL8,Q14BN4
Q6PF18,Q9NRD5
O75791,P11274
Q13263,Q96CW1
A6NED2,Q6PD62
Q9HBD1,Q5C9Z4
P11413,Q70J99
P13569,Q8NB90
Q92888,Q96B97
Q15287,Q8N5F7
Q6IQ23,P68400
O14641,Q9UBC2
P51955,P23508
Q99807,P36542
Q9ULU8,P43243
Q86UY6,P49757
P02545,P51991
Q9Y3T9,Q96A19
O15016,P57740
Q9H4M7,Q9BVA0
Q86V81,Q03518
Q9H4M7,Q9ULR0
O60858,Q07065
Q96LU5,O60313
Q13618,Q8WYQ5
P35240,Q9UI12
Q9NPJ6,Q9H6D7
Q6ZMZ3,P25054
P50402,Q13263
Q14258,Q8WY36
Q02241,Q7Z2W4
Q02241,P04843
Q92615,Q13427
Q9H8X9,O95858
P05783,Q9BVG8
Q86YT6,Q9UPS8
Q9P270,O75592
Q13615,P42345
Q86VM9,Q9Y6M1
Q96H55,P42566
Q14974,P49792
P58546,P32929
P50897,O14727
Q4G0J3,Q9Y333
Q9Y3C5,Q9UJ41
Q7L591,P46108
P07948,O43172
P78317,P43034
Q08623,Q9BY44
Q01105,Q9HCK1
Q9NVK5,Q01970
P20290,P78362
Q63ZY3,Q2TAC2
Q9BZZ5,Q15287
O95159,Q96A33
Q14511,O75815
O96008,Q9UNE7
Q15029,Q9H089
P68400,O43896
Q02241,Q86VM9
Q14999,Q99759
Q9Y2D8,Q86V48
Q13625,Q9C0A6
P14324,P34913
Q92769,P02766
O94972,Q9UPN6
O75558,Q86Z20
Q6P2Q9,P49721
O75528,Q6VMQ6
Q69YN4,P38606
Q9HC52,Q14690
O15294,Q5C9Z4
Q8NDV7,P48681
Q96B97,Q9H7D7
Q96BP3,O95758
Q13200,Q9BYN0
Q01844,Q6P2H3
Q96EV8,O60645
Q8TB24,Q9UK99
P54198,Q9UL15
P25788,Q14565
Q8NFZ5,Q75N03
P55072,O14874
Q8N5H7,Q12834
Q9Y6M1,Q53GS7
P52735,Q13191
Q8N9I9,Q9UGN5
Q9HD67,Q8N8S7
O00212,Q07065
Q9UQL6,Q16531
Q9NVK5,Q86V81
Q96GF1,Q9UHB9
Q9NQW6,Q14974
O00559,Q5HYI8
Q8TAS1,O75175
P83436,Q969V5
Q13418,P49721
Q969X5,Q13190
P83436,Q9C0E8
O95782,Q9NUQ6
Q69YN4,O94986
Q9H5K3,P52429
O95816,Q92667
P78317,Q6NTF9
Q8TB03,P42858
Q96RK0,Q9Y6X9
P08621,P52298
P30260,O00268
P56945,Q9H270
Q5S007,Q9BRS2
Q6PUV4,P61011
Q07912,Q13501
Q66GS9,Q9ULL1
Q9UJC3,P19838
Q13131,P55072
Q9HBD1,Q14498
Q2KHN1,Q96EV8
P24539,Q02880
Q96CV9,Q9NV06
Q7Z7L1,P49790
P07919,Q9NZ32
A5YKK6,Q9P2D0
Q14676,Q13242
Q38SD2,Q9NQU5
O43353,P51991
Q9UP83,Q9Y2V7
Q5S007,P49792
Q86YT6,P53350
Q15645,Q9NXR5
Q15029,Q9BVS4
Q05086,O14818
P62258,Q9H8Y5
Q13064,Q8N5U6
Q16659,Q9Y3B3
Q13131,O60285
P41247,Q96RQ3
Q9UK00,Q13535
Q969H0,Q14318
O95208,P04629
P78344,Q96CV9
Q5XPI4,Q8NFC6
Q86WU2,Q9UKU7
Q8TBB1,Q06418
P50402,O15269
P09012,Q86YV0
Q96GN5,Q8NHQ1
P49821,Q2TAY7
Q9BXM7,Q08379
Q66GS9,Q15154
P55072,Q13501
Q96MT8,Q9H6D7
Q92945,Q16630
Q13501,O95373
Q6A163,O60437
Q69YN4,Q9UDY2
Q9UHX1,O75494
O60285,Q9H7D7
Q49A88,Q9NX08
Q13976,Q14643
Q8WYQ5,P05387
Q13352,P19838
P08621,Q9Y5K6
Q9H0M0,P43243
Q9HCE1,Q86WN1
Q9Y2X7,Q9C0J8
O75031,Q8N443
P01375,A7MCY6
O14936,Q12929
Q69YN4,Q9H583
Q9HCC0,Q9Y6M9
P38398,P19338
O14579,Q8NHH9
O15294,Q14498
O94763,Q9HB71
Q9UBN7,P42858
Q9UKN8,Q9UBC2
Q15058,Q8IVF4
Q9Y2D8,P38398
P35228,Q13200
Q9NVK5,Q9H6S3
Q8N1A0,P04792
P63211,P48736
P38398,Q8NI77
P02649,P22061
Q8TBB1,Q12802
Q5TZA2,Q9Y2X7
Q9UII4,Q8TAT6
O94972,Q14764
Q9NSC5,Q63ZY3
Q14203,Q14674
Q8WUM4,Q9H3S7
P38398,P14866
P62258,Q13310
Q9Y3C5,O95714
Q86V86,O43795
O75815,P21860
Q14258,P31483
P09874,Q9Y4C8
Q9NYP9,Q16576
Q14142,P06733
Q2NL98,Q63ZY3
P08559,Q92947
Q13823,Q8WY36
Q9NRD5,Q96GN5
P58340,Q14667
Q13435,O75533
Q9NRR6,Q9Y3M2
O00212,Q5UCC4
P28070,Q13200
Q9UHD2,O14730
Q92888,Q969H4
Q8TEB7,P43307
O75400,Q01081
Q9UBU8,P07099
Q00059,Q96RR1
Q86VM9,Q92945
Q86VM9,Q8NEF9
Q9HCE1,Q9UPV0
P27708,Q13200
P40926,Q6PML9
Q15051,P43034
Q05397,Q8WUM4
P04629,P09012
Q69YN4,Q9P2N2
Q5XPI4,O75132
Q9H0E2,Q14669
P08581,Q9HCE7
P04629,Q8WZA9
P52272,O94906
P57078,Q9UG56
Q13618,Q8TES7
Q96DI7,Q12873
Q3KP44,O95071
P52790,Q9Y3C5
Q14247,Q14684
O95817,Q86UU1
O60674,P55209
Q7L0Q8,Q9NQZ2
Q3MIX3,O75208
Q14671,Q9UPQ9
Q66GS9,Q96CS2
Q69YN4,Q6ZXV5
Q14258,Q9Y6Y1
P06733,Q8TAT6
Q13627,O94967
O60341,Q14687
O75934,O60508
Q9BXF6,Q96RF0
Q13263,Q8IXI2
P33992,O14579
Q16633,P53999
O00212,O43402
P07196,Q96T49
O60333,Q8TF05
Q9Y6D9,Q16543
Q96JN2,Q96JN8
Q7Z5B4,Q9Y228
Q3KP44,P33992
Q9UBK2,Q9NVC6
Q86SG6,P31948
Q9Y2Z4,Q99797
O75031,Q96CV9
Q9Y2V7,O60293
Q99871,Q68CZ6
Q15669,Q92574
Q96G01,Q2M1P5
P31943,P27701
P42858,P08574
Q9HCE1,Q9BZE1
Q5JR59,P0CB47
Q969X5,O75410
Q9UGI0,Q8TBB1
Q58A45,Q9Y4F3
Q9HB09,Q969S9
P22314,Q9NQP4
Q9BVS4,P84098
O43752,Q8IYB5
Q96EZ8,Q6P4R8
Q96RP9,O75027
Q9C029,Q03933
Q9Y3Z3,Q3T8J9
Q13148,Q9UMS4
Q9Y3Q8,Q9UQQ2
P33992,P33993
Q13501,Q8N8E3
Q9H4M7,A6NHR9
P68400,P08621
P61764,O75558
Q9Y3D8,O00268
Q16666,Q4G0J3
P37173,Q13200
Q9NWB1,Q9BXC9
O00267,Q7L590
P01241,P07910
Q9ULZ2,P10721
Q69YN4,O75821
Q5BJF6,Q9UDY2
P15056,P46940
Q9BZV1,Q13049
Q02241,O75934
Q69YN4,P42704
O43663,P62753
P26368,P12956
O96008,Q5EB52
Q15287,Q9Y5Q9
Q14999,A6NGE4
Q96EP0,Q15025
Q9UBB6,P08559
Q14258,P04792
Q8TF42,Q13618
O00212,P35611
Q14642,Q6UWP8
P0C6C1,P36542
Q13627,Q8N8S7
Q15744,O43166
Q14203,Q8IX90
Q96M89,Q16512
P52815,Q9HC77
P62310,Q9BQA1
Q92538,Q7Z569
Q9P2E9,C9JE40
O75553,Q6ZXV5
P33316,Q6ZVK8
P12757,P78317
Q8TDY2,Q14151
P42858,O60437
Q9BWT7,Q16543
Q8TD31,P0C1Z6
P55072,O60716
Q8WU79,O95208
Q6VAB6,Q5M775
Q99417,Q92667
Q9UM73,P57075
Q9H8V3,P56537
Q6ICB4,P32019
Q15746,P47756
Q15029,P43307
P31943,Q12899
P46940,O14974
Q13286,Q9H3U1
Q8IX03,O95835
Q9H8Y8,P63211
P55010,Q99426
O43390,Q8IYS2
Q676U5,P14373
Q14315,A6NEM1
Q12873,P33993
P34947,Q9UER7
P49840,O75400
Q6VAB6,Q16543
Q05519,Q9BYV6
Q13216,Q9UBW8
Q86TM6,P25705
Q8TF76,Q6PD62
Q9BUL8,Q8IY42
O14578,O43660
Q9BV36,Q9HD26
O95721,O15294
Q9BYZ6,Q93034
Q8NCB2,P40939
Q99728,Q14566
P35240,Q12972
Q14318,Q8NDI1
Q9UQC2,Q96QZ7
Q6ZMI0,O94842
Q86YS3,O75154
Q96CN9,Q8TES7
P02545,O00257
P58340,Q9UGR2
P14866,Q8NDI1
P32970,O43913
P12956,Q9UKK9
Q8N5R6,Q8TF42
Q9NPG2,Q5VZ46
Q15058,Q8WYP5
Q9UM54,Q9UKK3
Q08426,Q9BRK4
P43243,Q6P2Q9
Q03001,Q16659
Q9NS91,Q9BTD8
Q8N488,Q8NB25
Q14258,Q7Z460
Q9H0U9,P51654
Q05086,Q07666
Q8TAD8,Q5SY16
Q9H4M7,P42858
P51149,Q96JC1
O95816,O15047
Q9NPJ6,Q4G0J3
A8MTZ0,Q9BXC9
Q9H2G4,Q8TBB1
Q9H6T3,Q9HCN4
Q9UBT2,Q9C0B0
P68400,Q96EV2
Q9NQW6,P08708
Q8IZT6,O75449
Q8IYX3,O43252
Q6ZW49,P17931
Q8TDY2,Q96JN8
P02549,Q9BY27
Q86SG6,P42858
P53041,Q9BUJ0
Q14498,Q3MHD2
Q86TS9,Q96EH3
O15016,P36894
Q92614,Q9BPX5
O60308,Q9UPQ9
P80217,Q53GL0
Q969H0,P23246
Q8WXI3,Q9UBF6
P19525,P19338
O95816,Q14671
Q9NPJ6,Q9NWA0
Q8WVZ1,Q6UWP8
Q8IZT6,P55209
O00233,P17980
O43678,Q9P0J0
Q96T76,O95163
O14979,Q9NPE2
P25205,Q9UBE0
Q5XPI4,Q5VT97
O75533,Q9BVK6
O75600,O76031
O43482,Q9UJ41
O14576,O15212
Q7Z6E9,O95405
Q13501,Q6P3W7
Q6NSJ2,Q567U6
P78362,P04424
Q9H0H5,P52757
Q9Y512,Q86YT6
Q8TEJ3,O43166
Q92769,Q9UQE7
Q13616,Q8WXA9
Q9Y3Q8,P52306
Q92567,O94763
Q69YN4,Q5H9F3
P26651,Q9BRK4
Q14999,P35658
Q13228,O75530
O94874,Q9BSD7
P35711,Q00059
Q9H8Y8,Q8TAK5
Q9H000,Q71RC2
Q9UEW8,Q6ZMQ8
P50542,O43933
Q14203,P33981
Q9Y297,Q9BSJ2
O14578,Q15751
Q9UJ41,Q16543
Q14258,Q86XZ4
P27144,Q00688
O75665,Q99871
Q92567,Q9H0E2
Q13418,P35222
Q9BXM7,Q9Y613
Q92575,P55072
Q9BWF3,Q9BTD8
Q13618,P35527
Q96ST8,Q8WXW3
Q9UER7,P42858
Q9BVG8,P00540
Q92615,Q96MA1
P42696,Q9GZR2
Q14974,P19338
Q96G01,Q8NDV7
Q9H267,P62753
Q8N0Z3,Q9HAU0
P46199,P40939
Q00987,P00558
Q9Y4R8,Q9H6T3
P08621,Q9UPT8
Q9H0Z9,Q00987
Q9H4M7,P49720
Q96TC7,Q86US8
P78362,P24928
P34897,P17980
Q9Y3C5,Q96D59
Q8IUH3,Q6PKG0
O43765,P56545
P10636,Q96EK6
O95758,Q9HAU5
Q14155,Q5S007
O14578,O75521
P13693,Q5K651
Q9HCE1,Q8WV60
P61964,Q99541
Q96G01,Q9Y2K2
Q03468,P48047
Q8WXE1,Q9Y4R8
P13569,P20042
Q969G3,Q5JR59
A6NK89,Q8TEW0
Q8TB45,Q8TBZ0
Q13618,Q9UKA4
Q13618,Q5JTH9
Q99614,Q15029
Q9H6I2,Q86U70
Q9P0L0,Q9P0K7
Q14258,Q27J81
Q14258,Q16531
O43663,Q14684
Q9Y345,Q8NHH9
O94874,Q14444
Q8WV44,Q86TM6
Q9BTT4,Q13148
Q05397,Q9Y5J1
Q8IX90,Q8IUH5
O15294,P30154
Q8NDI1,Q8WVV4
Q8N565,Q8N684
Q96EA4,P61289
Q9H4B6,Q4VCS5
O95235,Q8IWX8
O75496,Q9ULT8
Q9GZS0,Q14807
P47974,P14174
Q9HBD1,O15226
O15259,Q9H6U6
Q9HBD1,P42696
P35222,Q6WCQ1
P53350,P11274
Q9UBF6,Q9H765
Q9NR56,Q8WVV4
P02766,Q9Y680
Q16659,Q15773
O43502,Q6NVH7
Q9NVW2,Q15036
Q9UJC3,Q8N6H7
Q9NYY8,P49821
Q9Y4Z0,P62306
Q13148,Q9Y383
Q9P2R3,Q9H1K0
Q9NYY3,O60841
P78317,Q9BV38
Q9P031,Q9H9E3
Q9Y4K3,O60573
Q9H3P7,Q8IZ73
Q9H0U9,O15213
P07948,O95503
Q8WWF5,O00203
Q8WWF5,O43353
P04629,Q12996
Q15058,O75083
P04629,P06576
Q86UY6,Q9Y4W6
Q9UGK3,Q05397
Q13618,P62304
Q01844,P26368
O15047,P68400
Q9UIM3,P58340
Q9Y3A6,Q96KQ4
Q15058,O14924
P61218,Q9NVU0
Q7Z6Z7,P05165
Q15334,Q96RU8
Q9UBP0,Q9Y484
Q13137,Q8N5R6
P30260,Q03933
Q8IXZ2,Q15050
P55058,Q86TM6
P02545,Q9NW64
Q58EX7,Q9H0W8
P02545,Q16630
P42679,Q13418
Q5S007,P19338
Q9H4M7,P51157
O14965,O94993
Q9Y6K9,Q15311
Q7Z7L1,Q9BW27
Q99871,Q9Y4X5
Q02241,P52701
P08962,Q96MH6
Q9NZ43,Q9BY77
Q9P2D3,Q12959
Q96EA4,O14744
Q99759,O75674
Q8IZE3,P07919
P49454,Q02224
Q6UWJ1,Q13751
Q3SY00,Q5T011
Q5S007,P14866
Q9BXW9,Q02880
Q86UP2,Q9P1Y6
O15213,Q9NWT1
O75179,Q14444
O43809,O75530
P04792,P01375
Q96RP9,P46199
P25205,P53350
Q7L190,P31483
P14866,A5YKK6
Q96KN7,Q9UPQ9
O43663,Q8WUM0
Q12849,P28331
Q00987,P23246
P61758,Q6PGP7
Q15058,Q14204
Q9NYY3,Q14643
P61964,P19338
P05129,P35568
P23508,Q8IVW4
Q86UY6,Q14974
Q86VM9,O43347
P49366,Q8TBB1
Q9C0E8,P53618
P50613,Q13137
Q96S79,Q969Y2
Q14258,O95373
P48681,O75533
Q12873,Q92804
Q52M75,Q14204
Q8IWE4,Q13620
Q92769,O00116
P51617,Q9NX07
P57740,P78406
Q9NWF9,Q13546
Q69YN4,Q9UII4
Q96S15,Q8WTW4
Q8WTW4,Q86XN8
O94885,P46108
Q92887,P36543
Q6PKC3,Q08999
Q12873,P62316
Q07065,Q5VV42
Q9NNX1,Q9UJ41
Q9NZJ0,P52701
Q7Z699,Q05084
Q9BRK4,Q9BXY8
Q8N5H7,Q9UBQ7
Q99747,Q96AJ9
Q14999,Q14204
Q9HBL0,O60504
Q7Z494,O75923
Q9Y297,Q99471
O00212,Q13009
P25054,Q8WY36
Q9H4M7,P56537
O95376,A4D1P6
Q9BQ67,O14776
Q9UHF3,Q8WVP7
Q13347,P37173
Q69YN4,Q8IY63
Q92625,P09972
Q9H4M7,Q13625
P61587,P47756
Q9Y5U2,P62314
O94992,P36542
P40926,Q969Y2
Q96MY7,Q53EZ4
Q96KQ4,Q15311
Q4G0J3,P19338
Q13148,O15392
P23508,Q04323
O95478,Q15050
P05783,Q9BXC9
Q9UQL6,O43390
Q01433,Q5JRX3
Q8N488,Q9UL03
Q08AD1,Q8IX90
Q15311,Q9BW19
O94992,Q9UHX1
O94864,Q9Y2X0
Q9H8W5,Q9H9E3
Q9NXC5,Q9NZN9
Q7L2Z9,Q9BS16
Q86W42,Q15029
Q9HD26,Q969R2
Q69YN4,Q9NP58
Q9BXW9,Q6WKZ4
Q14498,P23246
Q9NXF1,Q5SY16
Q9BWT7,Q15040
Q9H4M7,Q8TDR2
O43252,Q96PM5
Q99959,P15924
Q99490,Q9Y3R0
Q9UQ80,P05387
P49321,Q9P2E2
P68400,P41236
A6NEM1,Q13415
Q96TC7,Q8IZQ5
Q96PM5,P61978
P31943,Q96AX9
P55072,Q9BQ67
Q9UGU5,Q02040
Q96TC7,Q5VV42
Q5S007,Q9Y4R8
Q9UPN9,Q12933
P49137,O60293
P04792,P33316
Q8TEP8,O94986
Q14155,P42229
Q9BRX9,Q9UMS4
Q9Y4P8,Q8TDY2
Q9GZT6,Q14254
Q9NZ43,Q12981
Q9NYP9,Q9NZ32
Q13322,P19419
Q96S44,P12036
O95235,Q86XJ1
P38398,Q6KC79
P08962,P21579
Q9BYF1,Q9BWF3
Q15029,O14579
Q9UL15,O95072
Q9NRI5,Q96MT8
Q9NQW6,P61421
P02545,P49790
Q9Y3A4,Q9H6L4
Q13042,Q7Z4H7
Q9UL15,Q9Y6A5
Q96LU5,Q92900
Q9NYY8,Q9NWU5
Q0JRZ9,Q15811
Q01844,P14678
Q5T4F4,Q9NTJ5
Q8NFZ5,Q96SN8
O75031,Q99728
Q69YN4,Q8NG08
Q9UER7,P49761
Q15058,Q6P996
Q15653,P62913
Q5XPI4,Q9BRR9
Q13164,P62258
P62753,Q7Z2W9
Q9GZV5,Q14005
Q6RW13,Q17RD7
Q5T0T0,Q9NNW5
P51813,Q6PD62
P25788,Q8WVV9
Q8TB24,P25205
P04629,Q96GA3
P26368,Q13263
Q8N4C6,Q68CZ1
Q969H0,Q14204
Q5JR59,Q9H0W8
Q15029,P33993
Q9HB19,P33992
Q13501,Q9GZT8
Q14684,P78527
Q8WW59,P06576
Q9Y3D6,Q8N7R7
Q6P9F5,Q9Y6K9
Q9UHN1,Q9UPM8
Q4G0J3,P27708
P01375,Q13114
O43172,Q5T8D3
P15924,Q9Y4R8
O94874,O75533
Q96TC7,Q86Y07
Q9Y4Y9,P62318
Q92538,Q96AC1
P04629,Q9UG63
Q9BV73,Q4V328
Q9BRX9,Q9NU22
O95858,P60033
P31943,Q9BQG0
Q9HCN4,P31943
Q13469,Q92973
P18206,O43426
Q9UQB8,Q9Y3M2
Q01844,Q9Y5S9
O75865,Q9UPQ4
Q96T52,Q7Z2W9
P30679,Q9NQ66
P57105,Q14254
Q9NQ48,P25786
Q6IQ23,O14974
Q8TF42,P20618
Q9BRS2,Q14974
Q9Y250,Q9BUI4
Q9GZT8,P52594
P19838,O14757
Q7Z7L1,Q86YC2
Q9ULT8,Q86W42
Q7L590,Q8NHQ1
Q15669,O75477
Q9BXW9,O43660
P35222,P62258
Q13131,P61978
P04629,Q9UM54
P34947,P13639
Q9P2K1,Q9BRR8
P02545,Q13315
P56945,Q9P2Y5
P40763,P53621
Q8IYF3,Q9BT92
Q14258,Q9BVP2
P04629,P11177
Q8WVX3,P49590
P06733,P52272
Q16543,Q9NW82
Q8N488,Q96GA3
Q5S007,P41743
Q71F23,Q9NSP4
Q15773,Q96T76
P28072,Q53EL6
P25054,Q00597
Q14684,Q8IWA0
Q15669,O75116
P61587,Q9Y5J1
Q14764,Q13137
P42345,P25963
P35222,P35052
O95235,O95071
Q155Q3,O14641
Q9BYG3,Q6PKG0
Q9P202,Q9UHD2
P04792,Q8N5U6
P12956,Q14966
Q9H4M7,Q969G3
Q9H4M7,Q9UEW8
P01241,Q9Y297
Q9BZD4,P32019
Q9Y4K3,Q8N5U6
P13569,P09874
P14866,Q14966
Q13501,Q7Z2W4
O76041,Q8TD10
Q08379,Q9BUI4
Q07157,Q8NHQ8
Q9H967,A6NHR9
P53355,P43403
Q3B820,Q8TD10
Q69YN4,Q9P2E9
P52272,P18754
Q6PJI9,Q9NXC5
O43390,Q9H5N1
Q9BY78,Q86VP1
Q15058,O75616
Q969X5,O15020
Q13131,Q9H7D0
P08621,Q9GZT3
Q9BV73,Q9UMS4
P49736,Q13620
P19838,P30566
Q9NRD5,Q9GZT3
P49736,Q13200
O75530,Q9NW13
P04843,Q8TD43
P25054,Q12959
Q9UKE5,Q8NF91
Q9BTE0,Q9Y383
P07948,P46940
Q5QJE6,P78332
Q02224,O75665
Q13618,O14576
Q8TB24,Q15758
Q9UK00,Q14746
Q68EM7,Q14247
Q9NP66,Q5VIR6
Q15831,Q9UNF0
Q9BWF2,P35251
P61289,Q9P0J6
Q9NRI5,Q15811
Q8NHP6,Q13835
O14908,P11274
Q14258,Q6ZUM4
P40763,P09619
O14936,Q9HB63
Q15051,P40939
Q9HBD1,Q15637
P26651,Q9H6T0
P21953,Q12797
P38398,P51991
Q9HCE7,O75533
P19174,Q9NP31
Q96S44,P08708
Q6ZMZ3,Q8TF72
Q96D71,Q8NFH8
Q86UY6,Q14980
Q4V328,Q8TBB1
Q9NWB1,P57723
Q9Y6K9,P35916
O60895,Q15118
Q9Y587,Q92624
Q9P1A2,Q15051
Q96D59,Q13148
P49796,Q9BZF9
Q15311,Q96SN8
Q15276,O95295
Q5XPI4,Q9P2F6
P51955,P41236
P56545,O75558
Q9NQW6,Q92599
O14777,Q9H6D7
O95503,P51116
O95295,Q9NYB9
P10636,Q15427
Q15427,Q8IWX8
Q7L190,Q16531
Q9Y6H1,P83731
Q69YN4,Q9HCJ0
P38398,P35249
P54198,O15294
Q8N137,Q04637
Q9BYZ6,Q9Y608
O43175,O75494
P78362,O95544
Q15714,Q9UMS4
Q9UL03,Q14152
Q86UY6,P49321
Q9UJC3,Q9NYB9
P60468,Q14643
Q96T52,P42704
P60468,Q7Z2W4
O95159,Q13480
Q9H6Z4,P18754
Q15287,Q9H6E5
P26368,P60174
Q6ZR37,Q86X10
O15294,Q15637
Q9Y3B3,Q9BVK6
P98082,O15169
Q9Y5S9,Q07352
P14866,Q9P2R7
P36776,Q5U5X0
Q15311,P49757
Q9H6T3,Q9UBK9
P08621,Q6UXN9
P34897,Q9UNH7
O95816,Q9H4A3
Q96B97,Q07065
O75530,Q12972
O75694,Q5THJ4
P18859,P48047
Q504Q3,O14744
P46937,P28288
Q8TES7,Q00610
O60308,Q9Y2D8
Q9H0H5,Q6UB99
Q9H4M7,Q7Z5L9
Q96MF2,Q8N9Q2
O00267,Q9HCD5
Q8N139,O43752
Q9H7C4,Q15276
Q9BZV1,Q86XN8
Q13825,Q9Y4W6
O94992,P62826
Q15020,P42704
Q13216,O95816
P13569,O43175
Q9H000,Q8WXH0
Q14258,Q15811
O95817,P00558
Q8N488,Q9Y6R9
Q96NL6,Q9UBB4
O15294,Q16543
P62310,Q9H6E5
Q08752,P12956
Q969H0,O75616
P32970,Q9NU22
P53350,Q9UK59
O75494,Q9UH99
Q15058,O75815
O75179,Q14671
P26368,Q13435
O60645,Q15643
Q6ZXV5,Q14019
Q01844,P05455
Q92769,Q9UN86
Q9Y5M8,Q9UNK0
Q14258,Q9H0J9
Q5XPI4,Q8TD10
P61218,Q9H2D6
Q93034,P08133
P02545,Q3B820
Q9UBW8,Q15139
O43172,Q01804
Q86YC2,Q4ZG55
Q9NRD5,Q9NQZ2
Q9NX55,P58340
Q14511,O14965
Q96AX1,P50570
O75787,Q86UP2
Q15291,O43684
P04629,Q6PIW4
Q9BTT4,P61218
P09496,P11274
Q14498,Q14204
Q07065,Q27J81
O95235,Q96DI7
Q8TAP6,Q13835
Q8NFZ5,O43402
Q86UY6,P60900
Q08379,Q96ST3
Q86VM9,P50402
Q96AJ1,Q9UEU0
Q15139,P62258
Q12986,Q86V81
Q2M329,Q9C0F1
P62875,Q9BWH6
Q5T7N2,P40937
P15735,Q05397
P15056,P25705
Q8N1B4,Q8NB25
Q15029,P62316
A9UHW6,O75821
Q99501,P19174
Q5RL73,Q9BWG6
O14828,Q99816
O43752,O14662
P36402,P11274
Q9H8V3,P15924
P22314,Q8WUM4
Q969H0,Q14457
Q7Z7L1,Q63HN8
Q8TBB1,Q15154
P78406,Q99627
Q9BV68,O76064
P33993,P49736
Q9P0L0,Q9NRI5
Q00059,O75521
Q9H8V3,Q8TED0
O95235,P45973
Q9BZV1,P36507
Q9GZT3,P28331
Q8TB24,Q12899
O15016,Q6Q0C0
Q9HBF4,Q86YT6
O43663,Q14444
Q13007,P19525
Q9Y5K6,Q9Y3L3
Q5BJF6,O75794
Q6ZMZ3,A7KAX9
Q9BRA2,P38606
Q96EP0,P61758
Q9BXW9,P00558
Q96SN8,P09874
O75570,O95900
Q7L190,Q96I25
P23942,O75400
Q5BJF6,Q9HCJ0
Q14258,Q92615
Q13671,P62258
P13569,O14979
Q69YN4,Q6ZWJ1
O60333,Q9H6S3
Q92838,Q9BZF1
Q14258,P49761
Q9BXM7,O14818
Q9Y289,Q96DX4
P19338,Q9UER7
P38398,P42695
Q9NVF7,Q70UQ0
P02545,Q14676
Q9UBK9,Q9NUG6
P04629,Q13011
Q9UM54,Q9UBP9
Q13112,P12004
Q9UBE8,P40763
Q6N021,P53999
P51572,Q13190
Q9UBN7,P49840
Q8IV32,O94992
P78317,Q14151
Q8N5H7,Q6ZMU5
P17980,Q8NHV4
O60381,Q13620
Q8N7W2,Q9P202
P51617,P61758
Q9BRS2,P08708
Q08378,Q9H3P7
Q6PID6,Q9NQP4
Q9Y230,Q14204
Q15058,Q9H808
Q15058,O14654
Q69YN4,P18206
P04629,Q9Y5X1
Q9NR56,P61978
Q69YN4,P61011
Q9H6Y5,P30260
P78317,Q6P2Q9
Q9H4M7,Q96Q89
Q02241,Q96N67
Q13618,Q4VCS5
Q5T9A4,Q9NWU5
