,Protein UniProt Acc.,EC Number,isEnzyme
240169,Q5SXM8,0.0.0.0,0
240194,Q9UM22,0.0.0.0,0
240198,Q8TE67,0.0.0.0,0
240228,Q9P0I2,0.0.0.0,0
240232,Q9NX77,0.0.0.0,0
240239,Q6PJG2,0.0.0.0,0
240247,Q56P03,0.0.0.0,0
240257,Q0PNE2,0.0.0.0,0
240259,Q5T6L9,0.0.0.0,0
240260,Q6PCB8,0.0.0.0,0
240261,Q15006,0.0.0.0,0
240268,Q96DN0,0.0.0.0,0
240271,Q99848,0.0.0.0,0
240272,Q9BY08,0.0.0.0,0
240276,Q8N4Y2,0.0.0.0,0
240278,P61550,0.0.0.0,0
240293,Q8N3D4,0.0.0.0,0
240297,Q8IYY4,0.0.0.0,0
240304,P54852,0.0.0.0,0
240305,Q8NI29,0.0.0.0,0
240306,Q9NVF7,0.0.0.0,0
240330,Q6BAA4,0.0.0.0,0
240337,Q6ZV73,0.0.0.0,0
240344,Q8N3X1,0.0.0.0,0
240345,Q5VW36,0.0.0.0,0
240350,Q5XX13,0.0.0.0,0
240351,Q9UK99,0.0.0.0,0
240367,Q96IP4,0.0.0.0,0
240368,Q9Y247,0.0.0.0,0
240369,Q9NP50,0.0.0.0,0
240373,Q96EF6,0.0.0.0,0
240375,Q96JP0,0.0.0.0,0
240383,Q70Z53,0.0.0.0,0
240385,P81408,0.0.0.0,0
240389,Q9NUQ9,0.0.0.0,0
240391,Q5TD97,0.0.0.0,0
240396,Q92520,0.0.0.0,0
240415,Q9Y2D4,0.0.0.0,0
240416,Q5T9C2,0.0.0.0,0
240419,Q7L5A3,0.0.0.0,0
240422,Q8NB91,0.0.0.0,0
240430,Q9BSK4,0.0.0.0,0
240441,A1XBS5,0.0.0.0,0
240442,Q5HYJ3,0.0.0.0,0
240443,Q9H5X1,0.0.0.0,0
240452,Q8TAL6,0.0.0.0,0
240463,Q9UIM3,0.0.0.0,0
240467,P32314,0.0.0.0,0
240471,Q9P0K9,0.0.0.0,0
240476,Q53RD9,0.0.0.0,0
240477,Q9UH90,0.0.0.0,0
240491,Q9NQT6,0.0.0.0,0
240502,Q8N6M3,0.0.0.0,0
240514,Q9BVV2,0.0.0.0,0
240529,Q7Z7B0,0.0.0.0,0
240535,Q9NXK8,0.0.0.0,0
240548,A2A2Y4,0.0.0.0,0
240557,Q9H0Q3,0.0.0.0,0
240592,Q96D09,0.0.0.0,0
240597,Q9P2W3,0.0.0.0,0
240605,Q9H3K2,0.0.0.0,0
240615,O95838,0.0.0.0,0
240618,Q8NGA4,0.0.0.0,0
240635,P63215,0.0.0.0,0
240644,Q9H1K4,0.0.0.0,0
240648,P48060,0.0.0.0,0
240650,Q9UK08,0.0.0.0,0
240651,O14610,0.0.0.0,0
240673,Q8NEE6,0.0.0.0,0
240674,Q6PCT2,0.0.0.0,0
240676,Q9UBC7,0.0.0.0,0
240679,A6NHX0,0.0.0.0,0
240683,Q14390,0.0.0.0,0
240684,Q96ME1,0.0.0.0,0
240695,P61952,0.0.0.0,0
240726,O60234,0.0.0.0,0
240730,A7E2F4,0.0.0.0,0
240732,Q96P66,0.0.0.0,0
240733,Q8NFN8,0.0.0.0,0
240734,Q5T848,0.0.0.0,0
240736,Q8N158,0.0.0.0,0
240737,Q9BZJ8,0.0.0.0,0
240738,Q96P69,0.0.0.0,0
240739,Q9BY21,0.0.0.0,0
240747,Q8N2G8,0.0.0.0,0
240750,Q6P9H5,0.0.0.0,0
240760,Q9HC38,0.0.0.0,0
240765,O15218,0.0.0.0,0
240771,Q9UKJ3,0.0.0.0,0
240783,P78333,0.0.0.0,0
240785,Q9BZJ7,0.0.0.0,0
240796,Q8WWP7,0.0.0.0,0
240797,Q9NUV9,0.0.0.0,0
240802,Q99445,0.0.0.0,0
240804,O43555,0.0.0.0,0
240818,P46091,0.0.0.0,0
240820,P46093,0.0.0.0,0
240821,Q9BZJ6,0.0.0.0,0
240841,Q7Z601,0.0.0.0,0
240842,Q8TDV0,0.0.0.0,0
240846,O95872,0.0.0.0,0
240847,Q8TDU6,0.0.0.0,0
240850,Q9H9Y4,0.0.0.0,0
240855,P16260,0.0.0.0,0
240866,P36915,0.0.0.0,0
240867,Q96P88,0.0.0.0,0
240877,Q9ULK0,0.0.0.0,0
240881,Q8TD20,0.0.0.0,0
240903,Q9NW75,0.0.0.0,0
240906,Q6IC98,0.0.0.0,0
240908,O15499,0.0.0.0,0
240909,Q9NZM5,0.0.0.0,0
240919,Q99678,0.0.0.0,0
240921,Q9H772,0.0.0.0,0
240922,O60269,0.0.0.0,0
240924,Q5T4B2,0.0.0.0,0
240936,Q14687,0.0.0.0,0
240939,Q8IZA3,0.0.0.0,0
240954,Q86UP8,0.0.0.0,0
240959,Q75WM6,0.0.0.0,0
240966,O00155,0.0.0.0,0
240967,Q49SQ1,0.0.0.0,0
240968,Q96HH9,0.0.0.0,0
240972,Q6PXP3,0.0.0.0,0
240983,Q9BX10,0.0.0.0,0
241012,Q5TGS1,0.0.0.0,0
241014,Q96HZ4,0.0.0.0,0
241030,O75335,0.0.0.0,0
241032,Q9BU23,0.0.0.0,0
241035,Q5VT99,0.0.0.0,0
241039,Q9BX40,0.0.0.0,0
241043,Q9HAT1,0.0.0.0,0
241046,Q14392,0.0.0.0,0
241054,Q9NQ29,0.0.0.0,0
241055,Q9NX58,0.0.0.0,0
241058,Q8WWC4,0.0.0.0,0
241065,Q6ZSA7,0.0.0.0,0
241066,O75325,0.0.0.0,0
241072,Q5U5X0,0.0.0.0,0
241075,O15481,0.0.0.0,0
241076,Q96JG8,0.0.0.0,0
241084,Q6UWN5,0.0.0.0,0
241085,Q6UX82,0.0.0.0,0
241092,Q96CN5,0.0.0.0,0
241098,Q6ZN28,0.0.0.0,0
241107,Q6DN14,0.0.0.0,0
241109,Q86V48,0.0.0.0,0
241110,Q8NDX9,0.0.0.0,0
241111,O95867,0.0.0.0,0
241121,Q9BUE0,0.0.0.0,0
241122,A0JLT2,0.0.0.0,0
241135,O94772,0.0.0.0,0
241141,O75074,0.0.0.0,0
241143,Q5SRR4,0.0.0.0,0
241150,Q8WZ33,0.0.0.0,0
241152,Q9HCI5,0.0.0.0,0
241154,Q9C099,0.0.0.0,0
241160,Q3KQU3,0.0.0.0,0
241167,Q9BS40,0.0.0.0,0
241169,P57077,0.0.0.0,0
241175,Q5U623,0.0.0.0,0
241176,Q969V1,0.0.0.0,0
241181,Q9P086,0.0.0.0,0
241185,Q9NQ76,0.0.0.0,0
241188,Q5TGZ0,0.0.0.0,0
241189,Q7Z3K6,0.0.0.0,0
241217,Q9Y4C4,0.0.0.0,0
241219,Q6N075,0.0.0.0,0
241224,Q05BQ5,0.0.0.0,0
241225,Q9BUT9,0.0.0.0,0
241226,Q86YW9,0.0.0.0,0
241231,P55082,0.0.0.0,0
241249,Q7Z553,0.0.0.0,0
241252,Q9BTT4,0.0.0.0,0
241262,A1L020,0.0.0.0,0
241289,O95772,0.0.0.0,0
241293,Q8NAN2,0.0.0.0,0
241295,Q5VWP3,0.0.0.0,0
241298,Q9Y586,0.0.0.0,0
241303,Q5TIA1,0.0.0.0,0
241304,Q14D04,0.0.0.0,0
241306,Q96JQ5,0.0.0.0,0
241307,Q9H2W1,0.0.0.0,0
241310,Q9BW11,0.0.0.0,0
241313,P43358,0.0.0.0,0
241329,Q6PF18,0.0.0.0,0
241334,Q99550,0.0.0.0,0
241351,Q13505,0.0.0.0,0
241360,P12524,0.0.0.0,0
241370,Q9UKD2,0.0.0.0,0
241378,Q8N387,0.0.0.0,0
241403,Q9NXC5,0.0.0.0,0
241419,Q9GZW8,0.0.0.0,0
241424,O43196,0.0.0.0,0
241425,P56278,0.0.0.0,0
241427,Q6P444,0.0.0.0,0
241441,O14524,0.0.0.0,0
241443,Q92686,0.0.0.0,0
241474,O60393,0.0.0.0,0
241482,Q86WQ0,0.0.0.0,0
241484,Q16612,0.0.0.0,0
241490,Q8IVD9,0.0.0.0,0
241498,Q8IZ57,0.0.0.0,0
241500,Q9H208,0.0.0.0,0
241501,Q8NGE3,0.0.0.0,0
241505,Q9UFN0,0.0.0.0,0
241510,Q96EP9,0.0.0.0,0
241525,Q8NGN2,0.0.0.0,0
241526,Q8NGC8,0.0.0.0,0
241527,Q8NGS8,0.0.0.0,0
241529,Q8NGF0,0.0.0.0,0
241530,Q8NGP9,0.0.0.0,0
241536,Q8WWZ8,0.0.0.0,0
241541,Q8TAK6,0.0.0.0,0
241542,Q8IXM6,0.0.0.0,0
241547,Q9H209,0.0.0.0,0
241548,Q8NGN3,0.0.0.0,0
241549,Q8NG84,0.0.0.0,0
241550,Q8NGL6,0.0.0.0,0
241552,Q9H342,0.0.0.0,0
241553,Q8NH59,0.0.0.0,0
241554,Q8NGK2,0.0.0.0,0
241555,Q8NH67,0.0.0.0,0
241556,Q8NGC0,0.0.0.0,0
241557,Q9GZQ6,0.0.0.0,0
241584,Q9UBM4,0.0.0.0,0
241585,Q8NGR2,0.0.0.0,0
241586,Q9H210,0.0.0.0,0
241587,Q9NQN1,0.0.0.0,0
241588,Q8NHC8,0.0.0.0,0
241591,Q8NGW6,0.0.0.0,0
241592,O76099,0.0.0.0,0
241593,Q8NGA0,0.0.0.0,0
241595,Q9BXI2,0.0.0.0,0
241601,Q86VZ1,0.0.0.0,0
241610,Q14990,0.0.0.0,0
241616,P0CE72,0.0.0.0,0
241621,Q7Z3T1,0.0.0.0,0
241623,Q8NGJ1,0.0.0.0,0
241624,Q8NH43,0.0.0.0,0
241625,Q8IXE1,0.0.0.0,0
241626,Q8NGL1,0.0.0.0,0
241627,Q8WZ92,0.0.0.0,0
241628,Q8NH69,0.0.0.0,0
241629,O95222,0.0.0.0,0
241633,Q8WZ84,0.0.0.0,0
241634,Q8NGM9,0.0.0.0,0
241635,Q8NGE7,0.0.0.0,0
241639,Q8WVF1,0.0.0.0,0
241656,Q9NZT2,0.0.0.0,0
241664,Q6IF42,0.0.0.0,0
241665,O76001,0.0.0.0,0
241666,Q8NH87,0.0.0.0,0
241675,A6NF83,0.0.0.0,0
241676,P30954,0.0.0.0,0
241677,Q8NGX0,0.0.0.0,0
241678,Q9UGF7,0.0.0.0,0
241679,A6ND48,0.0.0.0,0
241680,Q9BQT8,0.0.0.0,0
241681,Q96PU9,0.0.0.0,0
241689,Q9Y585,0.0.0.0,0
241690,Q8NGR6,0.0.0.0,0
241691,Q8NH94,0.0.0.0,0
241694,Q8NGL9,0.0.0.0,0
241695,Q15615,0.0.0.0,0
241696,Q96R72,0.0.0.0,0
241697,Q8NH41,0.0.0.0,0
241699,Q8NH48,0.0.0.0,0
241700,Q8NH85,0.0.0.0,0
241701,Q8NG75,0.0.0.0,0
241706,Q3ZCN5,0.0.0.0,0
241708,Q96P68,0.0.0.0,0
241722,Q13607,0.0.0.0,0
241725,P47888,0.0.0.0,0
241728,Q8NGQ2,0.0.0.0,0
241729,O76100,0.0.0.0,0
241741,Q8IZS5,0.0.0.0,0
241744,P30953,0.0.0.0,0
241745,Q8WZA6,0.0.0.0,0
241746,Q6IEV9,0.0.0.0,0
241747,Q8NGB6,0.0.0.0,0
241748,Q8N0Y3,0.0.0.0,0
241749,P0C623,0.0.0.0,0
241750,Q8NGV6,0.0.0.0,0
241751,Q13606,0.0.0.0,0
241752,Q8NGY3,0.0.0.0,0
241754,Q15620,0.0.0.0,0
241758,Q9P0S3,0.0.0.0,0
241772,Q8NGE0,0.0.0.0,0
241773,Q8NGY0,0.0.0.0,0
241774,P58182,0.0.0.0,0
241775,Q8NHC7,0.0.0.0,0
241776,A6NGY5,0.0.0.0,0
241777,Q8NGH8,0.0.0.0,0
241784,Q8NGX6,0.0.0.0,0
241785,Q8NGV5,0.0.0.0,0
241786,Q8NGZ3,0.0.0.0,0
241787,Q9UGF5,0.0.0.0,0
241795,O14718,0.0.0.0,0
241796,Q8NGS0,0.0.0.0,0
241797,Q8NH92,0.0.0.0,0
241798,Q15612,0.0.0.0,0
241799,Q96R48,0.0.0.0,0
241800,Q9GZK3,0.0.0.0,0
241801,Q9GZK4,0.0.0.0,0
241802,O76002,0.0.0.0,0
241804,Q8NGQ1,0.0.0.0,0
241806,Q9NRP0,0.0.0.0,0
241835,O15212,0.0.0.0,0
241837,Q15198,0.0.0.0,0
241840,Q9BX93,0.0.0.0,0
241846,Q9HB20,0.0.0.0,0
241873,Q96S96,0.0.0.0,0
241881,O15173,0.0.0.0,0
241894,Q58EX7,0.0.0.0,0
241903,P34995,0.0.0.0,0
241913,Q53GA4,0.0.0.0,0
241918,Q8WWB5,0.0.0.0,0
241924,Q9H875,0.0.0.0,0
241931,A4D2B8,0.0.0.0,0
241934,Q14863,0.0.0.0,0
241940,Q6PEZ8,0.0.0.0,0
241944,Q6ZMI0,0.0.0.0,0
241947,Q86XR5,0.0.0.0,0
241951,Q9NXH3,0.0.0.0,0
241966,Q96A00,0.0.0.0,0
241978,Q3MUY2,0.0.0.0,0
241981,Q9UPG8,0.0.0.0,0
241990,O95428,0.0.0.0,0
241999,Q6UQ28,0.0.0.0,0
242007,Q13401,0.0.0.0,0
242024,Q9UHV8,0.0.0.0,0
242026,Q8TF05,0.0.0.0,0
242039,Q96HE9,0.0.0.0,0
242041,Q5FWE3,0.0.0.0,0
242042,O75167,0.0.0.0,0
242050,Q9NWT1,0.0.0.0,0
242051,Q9H4M7,0.0.0.0,0
242065,Q96N28,0.0.0.0,0
242073,Q6S8J3,0.0.0.0,0
242074,Q8N3S3,0.0.0.0,0
242077,Q99541,0.0.0.0,0
242082,Q96I34,0.0.0.0,0
242087,O95685,0.0.0.0,0
242094,P79522,0.0.0.0,0
242106,O60542,0.0.0.0,0
242108,Q6ZW05,0.0.0.0,0
242119,Q00887,0.0.0.0,0
242134,Q9BRX5,0.0.0.0,0
242154,Q8TAE6,0.0.0.0,0
242156,O75864,0.0.0.0,0
242176,Q96EL3,0.0.0.0,0
242177,Q7Z7F7,0.0.0.0,0
242179,Q9Y225,0.0.0.0,0
242191,Q9H0A6,0.0.0.0,0
242194,Q3B726,0.0.0.0,0
242197,Q9H9Y2,0.0.0.0,0
242200,P09001,0.0.0.0,0
242201,Q9BYD2,0.0.0.0,0
242202,Q9NX20,0.0.0.0,0
242203,Q96A35,0.0.0.0,0
242205,Q9BRJ2,0.0.0.0,0
242212,Q9BYD6,0.0.0.0,0
242213,Q9BYD3,0.0.0.0,0
242214,Q96GC5,0.0.0.0,0
242228,P52198,0.0.0.0,0
242230,Q9GZN7,0.0.0.0,0
242239,Q6P1L8,0.0.0.0,0
242240,Q9BYC8,0.0.0.0,0
242241,O75394,0.0.0.0,0
242245,Q4U2R6,0.0.0.0,0
242250,Q9BU20,0.0.0.0,0
242267,Q92552,0.0.0.0,0
242268,Q8WWV3,0.0.0.0,0
242271,Q96C34,0.0.0.0,0
242278,Q9NVS2,0.0.0.0,0
242279,Q5QGT7,0.0.0.0,0
242280,Q86VV8,0.0.0.0,0
242284,Q8N2Y8,0.0.0.0,0
242291,Q9UHP6,0.0.0.0,0
242293,Q96IZ7,0.0.0.0,0
242294,O15235,0.0.0.0,0
242295,Q9BYN8,0.0.0.0,0
242297,P82673,0.0.0.0,0
242345,Q9NR31,0.0.0.0,0
242356,Q9H3T3,0.0.0.0,0
242380,Q9Y2Q9,0.0.0.0,0
242383,Q96BU1,0.0.0.0,0
242385,Q9Y2P4,0.0.0.0,0
242386,Q6ZUB1,0.0.0.0,0
242388,Q9UQR0,0.0.0.0,0
242404,Q7L4I2,0.0.0.0,0
242405,Q9Y399,0.0.0.0,0
242406,Q9Y2R9,0.0.0.0,0
242407,O60783,0.0.0.0,0
242411,Q9BQQ7,0.0.0.0,0
242415,Q96GZ6,0.0.0.0,0
242417,P35542,0.0.0.0,0
242420,Q9UDX3,0.0.0.0,0
242421,Q9H228,0.0.0.0,0
242427,Q8NG04,0.0.0.0,0
242440,Q9UDX4,0.0.0.0,0
242441,Q9H1N7,0.0.0.0,0
242442,Q96JT2,0.0.0.0,0
242460,Q15404,0.0.0.0,0
242461,P82675,0.0.0.0,0
242464,P82663,0.0.0.0,0
242465,Q9NP92,0.0.0.0,0
242469,O75298,0.0.0.0,0
242475,Q8IY34,0.0.0.0,0
242477,Q8IZD6,0.0.0.0,0
242479,Q6Q0C1,0.0.0.0,0
242481,Q8TBE7,0.0.0.0,0
242488,Q6NUJ1,0.0.0.0,0
242496,Q9H1X1,0.0.0.0,0
242500,Q9Y3D5,0.0.0.0,0
242503,P59025,0.0.0.0,0
242504,Q96NL0,0.0.0.0,0
242509,Q9UKG4,0.0.0.0,0
242510,Q9Y2C5,0.0.0.0,0
242527,Q99884,0.0.0.0,0
242535,Q9NPR2,0.0.0.0,0
242537,O95968,0.0.0.0,0
242540,A4FU49,0.0.0.0,0
242541,Q96HL8,0.0.0.0,0
242545,Q14940,0.0.0.0,0
242558,A6NFY7,0.0.0.0,0
242562,P09683,0.0.0.0,0
242565,Q9H3T2,0.0.0.0,0
242568,Q92599,0.0.0.0,0
242576,Q9C0A6,0.0.0.0,0
242577,Q08648,0.0.0.0,0
242586,Q96A28,0.0.0.0,0
242591,Q9BVL4,0.0.0.0,0
242593,Q6ZU15,0.0.0.0,0
242596,Q9H9B4,0.0.0.0,0
242597,Q96QR1,0.0.0.0,0
242602,Q9BZQ2,0.0.0.0,0
242608,A6NMB1,0.0.0.0,0
242619,Q9H7N4,0.0.0.0,0
242624,Q9Y267,0.0.0.0,0
242625,A6NK97,0.0.0.0,0
242628,Q8TDM5,0.0.0.0,0
242647,P47872,0.0.0.0,0
242650,Q9BRJ7,0.0.0.0,0
242656,P57772,0.0.0.0,0
242667,Q8IW03,0.0.0.0,0
242671,O95104,0.0.0.0,0
242677,Q9BRV8,0.0.0.0,0
242695,Q2M3G4,0.0.0.0,0
242702,O43760,0.0.0.0,0
242703,Q5PRF9,0.0.0.0,0
242706,O75324,0.0.0.0,0
242740,Q9Y6Q2,0.0.0.0,0
242742,Q6EEV6,0.0.0.0,0
242751,O75635,0.0.0.0,0
242762,Q8WXF0,0.0.0.0,0
242782,Q9UNL2,0.0.0.0,0
242792,Q9UHV2,0.0.0.0,0
242793,O60232,0.0.0.0,0
242795,O75683,0.0.0.0,0
242804,Q9Y5M8,0.0.0.0,0
242811,Q9Y6J8,0.0.0.0,0
242820,P81877,0.0.0.0,0
242823,Q9NRC1,0.0.0.0,0
242826,Q96DR4,0.0.0.0,0
242832,P43308,0.0.0.0,0
242835,Q7Z7C7,0.0.0.0,0
242863,Q8N8G2,0.0.0.0,0
242882,Q9Y5J1,0.0.0.0,0
242883,Q9NYH9,0.0.0.0,0
242884,O00526,0.0.0.0,0
242886,Q6BDS2,0.0.0.0,0
242921,Q9H320,0.0.0.0,0
242922,O14599,0.0.0.0,0
242935,O00295,0.0.0.0,0
242936,Q9BY14,0.0.0.0,0
242940,Q86XW9,0.0.0.0,0
242964,Q96EC8,0.0.0.0,0
242966,Q86U90,0.0.0.0,0
242984,Q96KM6,0.0.0.0,0
242986,Q9UFB7,0.0.0.0,0
242987,Q15916,0.0.0.0,0
242988,Q8TBF4,0.0.0.0,0
242989,Q3KNS6,0.0.0.0,0
242990,Q08AG5,0.0.0.0,0
242991,P17022,0.0.0.0,0
242993,P17027,0.0.0.0,0
242994,P17039,0.0.0.0,0
242995,Q8IZ26,0.0.0.0,0
242996,Q02386,0.0.0.0,0
243001,Q9HBT8,0.0.0.0,0
243002,Q9UGR2,0.0.0.0,0
243005,Q9Y6Q3,0.0.0.0,0
243008,Q86YA3,0.0.0.0,0
243009,P52736,0.0.0.0,0
243010,Q14929,0.0.0.0,0
243011,Q9Y3S2,0.0.0.0,0
243012,Q9NQX6,0.0.0.0,0
243014,Q96F45,0.0.0.0,0
243015,Q68DY1,0.0.0.0,0
243016,Q9Y2D9,0.0.0.0,0
243017,Q96C28,0.0.0.0,0
243018,Q5FWF6,0.0.0.0,0
243020,P17030,0.0.0.0,0
243021,P17035,0.0.0.0,0
243022,P17041,0.0.0.0,0
243024,Q9H4T2,0.0.0.0,0
243025,P10073,0.0.0.0,0
243026,Q96LW9,0.0.0.0,0
243027,O15062,0.0.0.0,0
243030,Q96MM3,0.0.0.0,0
243039,O60765,0.0.0.0,0
243040,Q7Z7L7,0.0.0.0,0
243041,Q8WV99,0.0.0.0,0
243045,Q63HK3,0.0.0.0,0
243046,Q9Y2L8,0.0.0.0,0
243047,P49910,0.0.0.0,0
243048,Q9UL36,0.0.0.0,0
243051,Q9NR11,0.0.0.0,0
243053,Q8NA42,0.0.0.0,0
243054,Q9C0G0,0.0.0.0,0
243056,Q9H7R0,0.0.0.0,0
243057,Q8WV37,0.0.0.0,0
243058,Q6NX49,0.0.0.0,0
243059,Q8NEP9,0.0.0.0,0
243060,Q9BSK1,0.0.0.0,0
243061,Q8WXB4,0.0.0.0,0
243062,Q8N823,0.0.0.0,0
243063,Q8N883,0.0.0.0,0
243064,Q5T7W0,0.0.0.0,0
243065,Q9P2J8,0.0.0.0,0
243066,Q96CK0,0.0.0.0,0
243068,Q9NV72,0.0.0.0,0
243072,Q9BS86,0.0.0.0,0
243075,P17040,0.0.0.0,0
243077,Q8N3Z6,0.0.0.0,0
243079,O43345,0.0.0.0,0
243080,Q9UJW7,0.0.0.0,0
243081,Q14588,0.0.0.0,0
243082,Q14584,0.0.0.0,0
243083,Q8N7M2,0.0.0.0,0
243085,Q53GI3,0.0.0.0,0
243086,Q96HQ0,0.0.0.0,0
243087,Q8TBZ5,0.0.0.0,0
243088,Q9BS31,0.0.0.0,0
243089,Q5TYW1,0.0.0.0,0
243090,Q96K58,0.0.0.0,0
243091,Q96N38,0.0.0.0,0
243093,Q9UJL9,0.0.0.0,0
243095,Q6ZN57,0.0.0.0,0
243098,Q8NC26,0.0.0.0,0
243099,Q13360,0.0.0.0,0
243100,P17025,0.0.0.0,0
243101,O14709,0.0.0.0,0
243102,Q9UDV6,0.0.0.0,0
243103,Q9UL58,0.0.0.0,0
243104,Q9UIE0,0.0.0.0,0
243105,Q14590,0.0.0.0,0
243106,A2RRD8,0.0.0.0,0
243107,Q9C0F3,0.0.0.0,0
243108,Q9BR84,0.0.0.0,0
243109,Q8N8J6,0.0.0.0,0
243110,Q9BS34,0.0.0.0,0
243111,Q2M3X9,0.0.0.0,0
243112,Q9BU19,0.0.0.0,0
243121,B2RXF5,0.0.0.0,0
243130,Q8ND82,0.0.0.0,0
243131,Q86Y25,0.0.0.0,0
243137,Q9UJU3,0.0.0.0,0
243138,Q13398,0.0.0.0,0
243139,O14771,0.0.0.0,0
243140,Q16600,0.0.0.0,0
243141,O75346,0.0.0.0,0
243142,Q3ZCT1,0.0.0.0,0
243143,Q9NRM2,0.0.0.0,0
243144,Q9UDV7,0.0.0.0,0
243146,Q86UD4,0.0.0.0,0
243147,Q96JL9,0.0.0.0,0
243148,Q9Y3M9,0.0.0.0,0
243151,P59817,0.0.0.0,0
243152,Q6AHZ1,0.0.0.0,0
243154,Q9HCG1,0.0.0.0,0
243155,Q9UJW8,0.0.0.0,0
243157,Q70YC5,0.0.0.0,0
243158,Q8N0Y2,0.0.0.0,0
243160,Q08ER8,0.0.0.0,0
243161,Q86UE3,0.0.0.0,0
243162,O95049,0.0.0.0,0
243164,Q6NSZ9,0.0.0.0,0
243165,Q8IWY8,0.0.0.0,0
243166,Q19AV6,0.0.0.0,0
243167,O60293,0.0.0.0,0
243169,P17029,0.0.0.0,0
243170,Q9H2Y7,0.0.0.0,0
243171,P17019,0.0.0.0,0
243172,Q8N859,0.0.0.0,0
243173,Q9ULD5,0.0.0.0,0
243174,Q6ZMS7,0.0.0.0,0
243175,P21506,0.0.0.0,0
243176,P17021,0.0.0.0,0
243177,P17023,0.0.0.0,0
243178,Q9BSG1,0.0.0.0,0
243183,O75132,0.0.0.0,0
243184,Q9BUY5,0.0.0.0,0
243185,O15090,0.0.0.0,0
243186,Q86YE8,0.0.0.0,0
243187,Q96NL3,0.0.0.0,0
243189,P17031,0.0.0.0,0
243190,P17038,0.0.0.0,0
243191,Q96MX3,0.0.0.0,0
243192,P51508,0.0.0.0,0
243199,Q9BYN7,0.0.0.0,0
243200,Q96SR6,0.0.0.0,0
243201,Q6IV72,0.0.0.0,0
243202,Q9Y2A4,0.0.0.0,0
243203,P59923,0.0.0.0,0
243204,Q6ECI4,0.0.0.0,0
243205,Q9BX82,0.0.0.0,0
243206,Q8TF39,0.0.0.0,0
243207,O60304,0.0.0.0,0
243208,Q96SK3,0.0.0.0,0
243209,Q6PF04,0.0.0.0,0
243212,Q8TBC5,0.0.0.0,0
243213,Q86W11,0.0.0.0,0
243214,Q9NX65,0.0.0.0,0
243215,O15535,0.0.0.0,0
243222,P26927,0.0.0.0,0
243224,O14964,0.0.0.0,0
243225,Q96QV1,0.0.0.0,0
243230,Q9Y2N7,0.0.0.0,0
243231,P26583,0.0.0.0,0
243236,Q6NXT2,0.0.0.0,0
243238,P62805,0.0.0.0,0
243242,Q5JVS0,0.0.0.0,0
243248,P02790,0.0.0.0,0
243252,Q30201,0.0.0.0,0
243255,Q9Y5L2,0.0.0.0,0
243257,Q95460,0.0.0.0,0
243260,Q99871,0.0.0.0,0
243262,P69905,0.0.0.0,0
243265,Q9BXC0,0.0.0.0,0
243266,Q9Y5Z7,0.0.0.0,0
243267,P14317,0.0.0.0,0
243270,Q5TA89,0.0.0.0,0
243271,P04233,0.0.0.0,0
243272,Q8IV36,0.0.0.0,0
243274,Q16665,0.0.0.0,0
243275,Q9Y241,0.0.0.0,0
243276,P60008,0.0.0.0,0
243278,P54198,0.0.0.0,0
243281,Q02577,0.0.0.0,0
243290,Q92619,0.0.0.0,0
243293,Q96ED9,0.0.0.0,0
243295,Q86YZ3,0.0.0.0,0
243301,P07900,0.0.0.0,0
243302,P15515,0.0.0.0,0
243306,Q6NT76,0.0.0.0,0
243311,P20823,0.0.0.0,0
243314,P31943,0.0.0.0,0
243316,Q8IX15,0.0.0.0,0
243317,Q9NZL4,0.0.0.0,0
243318,P37235,0.0.0.0,0
243322,Q92598,0.0.0.0,0
243326,Q9H6D7,0.0.0.0,0
243328,Q9Y450,0.0.0.0,0
243329,Q8TDS4,0.0.0.0,0
243330,Q9Y3Q4,0.0.0.0,0
243331,Q9UBK5,0.0.0.0,0
243332,P51858,0.0.0.0,0
243336,P42858,0.0.0.0,0
243341,Q9UBX0,0.0.0.0,0
243342,O94992,0.0.0.0,0
243351,Q14526,0.0.0.0,0
243353,Q53FT3,0.0.0.0,0
243356,Q8NCD3,0.0.0.0,0
243357,P01893,0.0.0.0,0
243361,P52926,0.0.0.0,0
243364,O97980,0.0.0.0,0
243367,P41235,0.0.0.0,0
243368,Q8WVV9,0.0.0.0,0
243370,O43390,0.0.0.0,0
243374,Q86X24,0.0.0.0,0
243375,P84074,0.0.0.0,0
243376,Q86YV9,0.0.0.0,0
243377,Q9ULV5,0.0.0.0,0
243381,Q8TDB4,0.0.0.0,0
243382,O60921,0.0.0.0,0
243383,Q16534,0.0.0.0,0
243386,Q9NP66,0.0.0.0,0
243387,P17096,0.0.0.0,0
243394,Q96LI6,0.0.0.0,0
243398,Q92522,0.0.0.0,0
243410,Q7Z4H7,0.0.0.0,0
243417,O75146,0.0.0.0,0
243418,Q9BUJ2,0.0.0.0,0
243419,P52597,0.0.0.0,0
243420,P14866,0.0.0.0,0
243421,P52272,0.0.0.0,0
243422,O60506,0.0.0.0,0
243423,Q5SSJ5,0.0.0.0,0
243425,Q6P1K1,0.0.0.0,0
243428,P35367,0.0.0.0,0
243433,P08238,0.0.0.0,0
243434,Q3SXM5,0.0.0.0,0
243437,P01780,0.0.0.0,0
243442,Q13651,0.0.0.0,0
243446,P22692,0.0.0.0,0
243447,Q9P2D0,0.0.0.0,0
