Protein UniProt Acc.,EC Number,isEnzyme
Q9Y6K1,2.1.1.37,1
Q9Y315,4.1.2.4,1
Q6P158,3.6.4.13,1
Q08211,3.6.4.13,1
P49366,2.5.1.46,1
Q9UIK4,2.7.11.1,1
P06132,4.1.1.37,1
Q08345,2.7.10.1,1
Q9Y6T7,2.7.1.107,1
Q86XP1,2.7.1.107,1
Q13574,2.7.1.107,1
Q96HY7,1.2.4.2,1
Q8IX18,3.6.4.13,1
Q09013,2.7.11.1,1
Q9NRF9,2.7.7.7,1
Q16832,2.7.10.1,1
Q9NVP1,3.6.4.13,1
Q9UHI6,3.6.4.13,1
Q86XP3,3.6.4.13,1
Q9NQI0,3.6.4.13,1
Q9BZG8,2.5.1.108,1
P54098,2.7.7.7,1
P27487,3.4.14.5,1
Q86Y13,2.3.2.27,1
Q66K89,2.3.2.27,1
Q9UBC3,2.1.1.37,1
Q86UW9,2.3.2.27,1
Q13627,2.7.12.1,1
P09622,1.8.1.4,1
P09884,2.7.7.7,1
Q6XUX3,2.7.12.1,1
Q86XF0,1.5.1.3,1
Q92630,2.7.12.1,1
P00374,1.5.1.3,1
Q9BQI3,2.7.11.1,1
Q8TEK3,2.1.1.43,1
Q9BQC3,2.5.1.108,1
Q9NP87,2.7.7.7,1
Q8TE96,3.6.4.12,1
Q86Y01,2.3.2.27,1
Q9Y2E6,2.3.2.27,1
Q9Y463,2.7.12.1,1
Q9NZJ5,2.7.11.1,1
Q07864,2.7.7.7,1
Q9UHN1,2.7.7.7,1
Q6V1X1,3.4.14.5,1
Q8N9I9,2.3.2.27,1
Q8TDB6,2.3.2.27,1
P33316,3.6.1.23,1
O00148,3.6.4.13,1
Q13838,3.6.4.13,1
Q9P2K8,2.7.11.1,1
P56282,2.7.7.7,1
Q9NR33,2.7.7.7,1
Q86TI2,3.4.14.5,1
P26358,2.1.1.37,1
Q9H9T3,2.3.1.48,1
O00303,3.4.19.12,1
P13929,4.2.1.11,1
P21860,2.7.10.1,1
Q15303,2.7.10.1,1
P00533,2.7.10.1,1
A1L3X0,2.3.1.199,1
P18074,3.6.4.12,1
P19447,3.6.4.12,1
Q9BW60,2.3.1.199,1
P54756,2.7.10.1,1
Q09472,2.3.1.48,1
P29322,2.7.10.1,1
P54762,2.7.10.1,1
P29323,2.7.10.1,1
P54760,2.7.10.1,1
O43781,2.7.12.1,1
P55084,2.3.1.16,1
Q96DP5,2.1.2.9,1
Q8NFZ0,3.6.4.12,1
P07332,2.7.10.2,1
P68106,5.2.1.8,1
Q9H8M7,3.4.19.12,1
Q8NBR6,3.4.19.12,1
Q8NFF5,2.7.7.2,1
Q14289,2.7.10.2,1
Q6NT32,3.1.1.1,1
Q99504,3.1.3.48,1
Q9NWM8,5.2.1.8,1
Q9BX63,3.6.4.13,1
Q8IYD8,3.6.4.13,1
P11362,2.7.10.1,1
P21802,2.7.10.1,1
P22607,2.7.10.1,1
P22455,2.7.10.1,1
Q96AY3,5.2.1.8,1
O00757,3.1.3.11,1
Q8IXL6,2.7.11.1,1
Q9NW38,2.3.2.27,1
P16591,2.7.10.2,1
P09769,2.7.10.2,1
Q02790,5.2.1.8,1
Q13451,5.2.1.8,1
Q9Y680,5.2.1.8,1
Q00688,5.2.1.8,1
P36888,2.7.10.1,1
P42685,2.7.10.2,1
P62942,5.2.1.8,1
Q14318,5.2.1.8,1
P02794,1.16.3.1,1
Q9H0R6,6.3.5.7,1
Q9NYL4,5.2.1.8,1
P26885,5.2.1.8,1
O95302,5.2.1.8,1
O14556,1.2.1.12,1
Q10471,2.4.1.41,1
Q8N4A0,2.4.1.41,1
P07902,2.7.7.12,1
Q16595,1.16.3.1,1
Q8N4E7,1.16.3.1,1
A2VDF0,5.1.3.29,1
P06744,5.3.1.9,1
P51570,2.7.1.6,1
Q14435,2.4.1.41,1
Q7Z7M9,2.4.1.41,1
P07954,4.2.1.2,1
P06241,2.7.10.2,1
O75343,4.6.1.2,1
O14976,2.7.11.1,1
O94808,2.6.1.16,1
Q7L622,2.3.2.26,1
P11413,1.1.1.49,1
P48728,2.1.2.10,1
Q02153,4.6.1.2,1
Q04446,2.4.1.18,1
Q06210,2.6.1.16,1
Q9NY28,2.4.1.41,1
Q9H227,3.2.1.21,1
P30793,3.5.4.16,1
Q10472,2.4.1.41,1
Q8NCL4,2.4.1.41,1
P23378,1.4.4.2,1
Q14410,2.7.1.30,1
Q6ZS86,2.7.1.30,1
O94925,3.5.1.2,1
Q8IUC8,2.4.1.41,1
Q8N3T1,2.4.1.41,1
Q9UI32,3.5.1.2,1
Q6P9A2,2.4.1.41,1
Q86SR1,2.4.1.41,1
Q8NCW6,2.4.1.41,1
Q49A17,2.4.1.41,1
P34896,2.1.2.1,1
P46926,3.5.99.6,1
Q86UL3,2.3.1.15,1
Q96SL4,1.11.1.9,1
Q86XS8,2.3.2.27,1
P36959,1.7.1.7,1
Q8N335,1.1.1.8,1
P28161,2.5.1.18,1
Q14409,2.7.1.30,1
Q16775,3.1.2.6,1
P34897,2.1.2.1,1
Q9P2T1,1.7.1.7,1
P43304,1.1.5.3,1
P08263,2.5.1.18,1
Q16772,2.5.1.18,1
P09211,2.5.1.18,1
P0CG30,2.5.1.18,1
P33402,4.6.1.2,1
Q02108,4.6.1.2,1
P32189,2.7.1.30,1
Q8TDQ7,3.5.99.6,1
Q9HCL2,2.3.1.15,1
Q6PIY7,2.7.7.19,1
Q8IXK2,2.4.1.41,1
Q96FL9,2.4.1.41,1
Q8N428,2.4.1.41,1
P07203,1.11.1.9,1
P48506,6.3.2.2,1
P0CG29,2.5.1.18,1
P30711,2.5.1.18,1
P49915,6.3.5.2,1
P18283,1.11.1.9,1
O75715,1.11.1.9,1
P59796,1.11.1.9,1
Q8TED1,1.11.1.9,1
P48637,6.3.2.3,1
O14929,2.3.1.48,1
P09210,2.5.1.18,1
O15217,2.5.1.18,1
P09488,2.5.1.18,1
Q03013,2.5.1.18,1
Q8TDG4,3.6.4.12,1
P13716,4.2.1.24,1
P21695,1.1.1.8,1
Q7RTV2,2.5.1.18,1
Q9Y2Q3,2.5.1.18,1
P21266,2.5.1.18,1
P46439,2.5.1.18,1
P08631,2.7.10.2,1
Q9UBN7,3.5.1.98,1
P22352,1.11.1.9,1
P25092,4.6.1.2,1
Q75N03,2.3.2.27,1
Q02846,4.6.1.2,1
P51841,4.6.1.2,1
Q96GX5,2.7.11.1,1
Q969S8,3.5.1.98,1
Q5GLZ8,2.3.2.26,1
Q8IVU3,2.3.2.26,1
Q13547,3.5.1.98,1
Q92769,3.5.1.98,1
P56524,3.5.1.98,1
Q8WUI4,3.5.1.98,1
Q9P2P5,2.3.2.26,1
Q8WVB3,3.2.1.52,1
Q96Q04,2.7.11.1,1
P07948,2.7.10.2,1
Q16584,2.7.11.25,1
P49137,2.7.11.1,1
Q9P0N8,2.3.2.27,1
Q86UD3,2.3.2.27,1
Q9P2E8,2.3.2.27,1
Q86YJ5,2.3.2.27,1
Q38SD2,2.7.11.1,1
Q5S007,2.7.11.1,1
P29376,2.7.10.1,1
O94822,2.3.2.27,1
Q9BXT6,3.6.4.13,1
Q9Y6R4,2.7.11.25,1
O43318,2.7.11.25,1
Q8IVH8,2.7.11.1,1
Q96QH8,3.2.1.17,1
Q02779,2.7.11.25,1
Q13233,2.7.11.25,1
Q99683,2.7.11.25,1
Q16644,2.7.11.1,1
O95382,2.7.11.25,1
O95819,2.7.11.1,1
Q9NX47,2.3.2.27,1
Q8NA82,2.3.2.27,1
P27448,2.7.11.1,1
Q6P0Q8,2.7.11.1,1
P42679,2.7.10.2,1
O43766,2.8.1.8,1
P53671,2.7.11.1,1
Q9Y5X9,3.1.1.3,1
Q6UWE0,2.3.2.27,1
Q8TBB1,2.3.2.27,1
P61626,3.2.1.17,1
O75951,3.2.1.17,1
Q12852,2.7.11.25,1
Q99558,2.7.11.25,1
Q6ZN16,2.7.11.25,1
Q5TCX8,2.7.11.25,1
Q12851,2.7.11.1,1
Q5T0T0,2.3.2.27,1
Q96L34,2.7.11.1,1
O60307,2.7.11.1,1
O15021,2.7.11.1,1
P40926,1.1.1.37,1
Q56UN5,2.7.11.1,1
Q99759,2.7.11.25,1
P41279,2.7.11.25,1
Q6UB28,3.4.11.18,1
Q8TCQ1,2.3.2.27,1
Q9H992,2.3.2.27,1
A6NNE9,2.3.2.27,1
P33991,3.6.4.12,1
Q86YT6,2.3.2.27,1
P31152,2.7.11.24,1
P53779,2.7.11.24,1
P53778,2.7.11.24,1
P25205,3.6.4.12,1
P31153,2.5.1.6,1
P16455,2.1.1.63,1
P10620,2.5.1.18,1
P33993,3.6.4.12,1
Q9UJA3,3.6.4.12,1
Q00987,2.3.2.27,1
Q5U5Q3,2.3.2.27,1
Q99735,2.5.1.18,1
P45983,2.7.11.24,1
Q8TD08,2.7.11.24,1
P20794,2.7.11.1,1
P23368,1.1.1.38,1
P33992,3.6.4.12,1
Q14566,3.6.4.12,1
Q9NXL9,3.6.4.12,1
P80192,2.7.11.25,1
Q92918,2.7.11.1,1
P53582,3.4.11.18,1
Q8IW41,2.7.11.1,1
Q12866,2.7.10.1,1
O14733,2.7.12.2,1
Q8WXR4,2.7.11.1,1
Q9BV20,5.3.1.23,1
P30304,3.1.3.48,1
Q6DT37,2.7.11.1,1
Q13064,2.3.2.27,1
Q5VT25,2.7.11.1,1
Q9NYA4,3.1.3.48,1
Q969V5,2.3.2.27,1
P42345,2.7.11.1,1
Q6VVB1,2.3.2.27,1
Q9Y314,2.3.2.27,1
Q9BZ95,2.1.1.43,1
Q16620,2.7.10.1,1
P03891,1.6.5.3,1
P15559,1.6.5.2,1
Q6DKJ4,1.8.1.8,1
Q9BSD7,3.6.1.15,1
P04629,2.7.10.1,1
P03905,1.6.5.3,1
O60285,2.7.11.1,1
Q9BQG2,3.6.1.22,1
P04181,2.6.1.13,1
Q02218,1.2.4.2,1
Q96L73,2.1.1.43,1
P03915,1.6.5.3,1
Q7Z2Y5,2.7.11.1,1
O96028,2.1.1.43,1
P03886,1.6.5.3,1
P03923,1.6.5.3,1
Q8TE49,3.4.19.12,1
Q5VVQ6,3.4.19.12,1
P0C869,3.1.1.4,1
P0DN37,5.2.1.8,1
Q9H4B0,2.3.1.234,1
Q8N6M0,3.4.19.12,1
Q6GQQ9,3.4.19.12,1
Q96DC9,3.4.19.12,1
Q96G74,3.4.19.12,1
Q53H96,1.5.1.2,1
Q3MJ16,3.1.1.4,1
Q68DD2,3.1.1.4,1
P11177,1.2.4.1,1
Q9NPF4,2.3.1.234,1
P39656,2.4.99.18,1
P00480,2.1.3.3,1
Q7L8S5,3.4.19.12,1
P04054,3.1.1.4,1
Q86XP0,3.1.1.4,1
Q9NZK7,3.1.1.4,1
Q9Y536,5.2.1.8,1
Q9H999,2.7.1.33,1
Q5T2D3,3.4.19.12,1
Q01804,3.4.19.12,1
Q9NZ20,3.1.1.4,1
P14555,3.1.1.4,1
Q9UNK4,3.1.1.4,1
Q9BZM2,3.1.1.4,1
Q9NVV4,2.7.7.19,1
Q9NR21,2.4.2.30,1
Q5VV17,3.4.19.12,1
Q96BN8,3.4.19.12,1
O95747,2.7.11.1,1
O96013,2.7.11.1,1
A0A0B4J2A2,5.2.1.8,1
Q9NVE7,2.7.1.33,1
Q8N5Y8,2.4.2.30,1
Q8TE04,2.7.1.33,1
Q9BZ23,2.7.1.33,1
Q5XG87,2.7.7.19,1
Q8N3A8,2.4.2.30,1
Q7Z3E1,2.4.2.30,1
Q96FA3,2.3.2.27,1
P11678,1.11.1.7,1
P07237,5.3.4.1,1
Q13087,5.3.4.1,1
P30101,5.3.4.1,1
Q14554,5.3.4.1,1
Q9H792,2.7.10.2,1
O60346,3.1.3.16,1
Q6ZVD8,3.1.3.16,1
P09619,2.7.10.1,1
Q9BXM7,2.7.11.1,1
Q9NRZ7,2.3.1.51,1
P19174,3.1.4.11,1
P41247,3.1.1.3,1
Q9NP80,3.1.1.5,1
Q86V86,2.7.11.1,1
O15120,2.3.1.51,1
O60733,3.1.1.4,1
P17858,2.7.1.11,1
Q9BZM1,3.1.1.4,1
Q96HS1,3.1.3.16,1
Q9NXJ5,3.4.19.3,1
Q32NB8,2.7.8.5,1
Q8N2W9,2.3.2.27,1
Q9P1W9,2.7.11.1,1
Q96RR1,3.6.4.12,1
P12955,3.4.13.9,1
P22079,1.11.1.7,1
Q01813,2.7.1.11,1
P16234,2.7.10.1,1
Q16513,2.7.11.13,1
Q99943,2.3.1.51,1
Q9NQ66,3.1.4.11,1
Q9UBF8,2.7.1.67,1
Q9UG56,4.1.1.65,1
O43164,2.3.2.27,1
Q8N3E9,3.1.4.11,1
Q9P212,3.1.4.11,1
O14939,3.1.4.4,1
Q8TCS8,2.7.7.8,1
P42356,2.7.1.67,1
P22061,2.1.1.77,1
Q8NG27,2.3.2.27,1
Q16512,2.7.11.13,1
O75038,3.1.4.11,1
Q86YW0,3.1.4.11,1
Q8NA58,3.1.13.4,1
Q99640,2.7.11.1,1
P16298,3.1.3.16,1
P11117,3.1.3.2,1
P62937,5.2.1.8,1
P45877,5.2.1.8,1
Q9Y3C6,5.2.1.8,1
Q9H2H8,5.2.1.8,1
O15297,3.1.3.16,1
Q9ULR3,3.1.3.16,1
Q8N819,3.1.3.16,1
Q9NQV7,2.1.1.43,1
P32119,1.11.1.15,1
Q9BZG2,3.1.3.2,1
P35813,3.1.3.16,1
Q9H0N5,4.2.1.96,1
Q969H6,3.1.26.5,1
P62714,3.1.3.16,1
Q08752,5.2.1.8,1
Q8WUA2,5.2.1.8,1
Q8WY54,3.1.3.16,1
Q9H611,3.6.4.12,1
Q8IV08,3.1.4.4,1
O14829,3.1.3.16,1
P10619,3.4.16.5,1
Q9UNP9,5.2.1.8,1
Q13427,5.2.1.8,1
O43447,5.2.1.8,1
P53041,3.1.3.16,1
Q01970,3.1.4.11,1
Q9NVS9,1.4.3.5,1
P36873,3.1.3.16,1
Q8IXY8,5.2.1.8,1
P23284,5.2.1.8,1
O15355,3.1.3.16,1
Q13029,2.1.1.43,1
Q9NQX0,2.1.1.43,1
P30048,1.11.1.15,1
Q92620,3.6.4.13,1
Q504Y2,2.7.10.2,1
Q6P5Z2,2.7.11.13,1
P00491,2.4.2.1,1
P48454,3.1.3.16,1
P60510,3.1.3.16,1
P13686,3.1.3.2,1
Q9NPH0,3.1.3.2,1
Q15147,3.1.4.11,1
Q9BRC7,3.1.4.11,1
Q13393,3.1.4.4,1
Q6XQN6,6.3.4.21,1
Q9UBT6,2.7.7.7,1
O75817,3.1.26.5,1
Q99570,2.7.11.1,1
P11309,2.7.11.1,1
Q00722,3.1.4.11,1
P51178,3.1.4.11,1
Q9NRZ5,2.3.1.51,1
P16885,3.1.4.11,1
Q96AD5,3.1.1.3,1
Q8IY17,3.1.1.5,1
P67775,3.1.3.16,1
Q08209,3.1.3.16,1
Q5JR12,3.1.3.16,1
Q5SGD2,3.1.3.16,1
Q96MI6,3.1.3.16,1
Q96BP3,5.2.1.8,1
Q9UMS4,2.3.2.27,1
Q8IYP2,3.4.21.4,1
P25789,3.4.25.1,1
P60900,3.4.25.1,1
Q8TAA3,3.4.25.1,1
P28070,3.4.25.1,1
P28066,3.4.25.1,1
Q86Y79,3.1.1.29,1
Q05209,3.1.3.48,1
Q15678,3.1.3.48,1
Q4JDL3,3.1.3.48,1
P11908,2.7.6.1,1
P25788,3.4.25.1,1
P40306,3.4.25.1,1
Q13162,1.11.1.15,1
P30044,1.11.1.15,1
O43930,2.7.11.1,1
P60891,2.7.6.1,1
P49720,3.4.25.1,1
Q9Y253,2.7.7.7,1
Q99575,3.1.26.5,1
P62136,3.1.3.16,1
O14830,3.1.3.16,1
O75688,3.1.3.16,1
P49593,3.1.3.16,1
Q8NI37,3.1.3.16,1
Q9NQW5,2.1.1.43,1
P49721,3.4.25.1,1
P28074,3.4.25.1,1
P28072,3.4.25.1,1
P28062,3.4.25.1,1
Q6ZNA4,2.3.2.27,1
O95059,3.1.26.5,1
P78346,3.1.26.5,1
Q9NVW2,2.3.2.27,1
Q9H777,3.1.26.11,1
O75116,2.7.11.1,1
Q04912,2.7.10.1,1
Q01974,2.7.10.1,1
Q8NCN4,2.3.2.27,1
Q9NRR4,3.1.26.3,1
Q99942,2.3.2.27,1
Q9BQ52,3.1.26.11,1
P04844,2.4.99.18,1
Q9H633,3.1.26.5,1
Q9BV68,2.3.2.27,1
Q8WVZ7,2.3.2.27,1
Q6ZSG1,2.3.2.27,1
Q9H6Y7,2.3.2.27,1
Q8IYW5,2.3.2.27,1
Q96K19,2.3.2.27,1
Q8N6D2,2.3.2.27,1
Q9H0F5,2.3.2.27,1
Q9H4P4,2.3.2.27,1
P78317,2.3.2.27,1
Q9Y252,2.3.2.27,1
O76064,2.3.2.27,1
P08922,2.7.10.1,1
O14802,2.7.7.6,1
P19474,2.3.2.27,1
P30876,2.7.7.6,1
Q9NW08,2.7.7.6,1
Q9Y4L5,2.3.2.27,1
Q96BH1,2.3.2.27,1
Q969K3,2.3.2.27,1
O94941,2.3.2.27,1
P04843,2.4.99.18,1
P07998,3.1.27.5,1
P10153,3.1.27.5,1
Q8IXW5,3.1.3.16,1
O00237,2.3.2.27,1
Q8IUD6,2.3.2.27,1
Q8WVD3,2.3.2.27,1
Q8WU17,2.3.2.27,1
Q9NTX7,2.3.2.27,1
Q9P0P0,2.3.2.27,1
Q68DV7,2.3.2.27,1
Q9Y508,2.3.2.27,1
Q96GF1,2.3.2.27,1
O75792,3.1.26.4,1
P34925,2.7.10.1,1
O95707,3.1.26.5,1
P78345,3.1.26.5,1
Q9NZ71,3.6.4.12,1
O00442,6.5.1.4,1
P21912,1.3.5.1,1
Q9Y265,3.6.4.12,1
O43865,3.3.1.1,1
Q96HN2,3.3.1.1,1
Q9Y230,3.6.4.12,1
P67812,3.4.21.89,1
P0C264,2.7.11.1,1
P23526,3.3.1.1,1
Q9UPS6,2.1.1.43,1
Q96BR1,2.7.11.1,1
P57059,2.7.11.1,1
P42285,3.6.4.13,1
P0C263,2.7.11.1,1
P31040,1.3.5.1,1
Q96T68,2.1.1.43,1
Q9BYW2,2.1.1.43,1
Q9BSV6,4.6.1.16,1
Q15047,2.1.1.43,1
Q86TU7,2.1.1.43,1
Q96LW2,2.7.11.1,1
Q8NCE0,4.6.1.16,1
Q9Y617,2.6.1.52,1
Q9Y6P5,1.11.1.15,1
P58004,1.11.1.15,1
Q52WX2,2.7.11.1,1
O00141,2.7.11.1,1
Q7Z6J0,2.3.2.27,1
P12931,2.7.10.2,1
Q9UEE5,2.7.11.1,1
Q8WU08,2.7.11.1,1
Q9BYT3,2.7.11.1,1
Q8N2I9,2.7.11.1,1
P49588,6.1.1.7,1
Q5JTZ9,6.1.1.7,1
Q9HA77,6.1.1.16,1
Q6PI48,6.1.1.12,1
Q9H3Y6,2.7.10.2,1
Q9UPE1,2.7.11.1,1
Q15831,2.7.11.1,1
Q13043,2.7.11.1,1
P49842,2.7.11.1,1
Q9Y6E0,2.7.11.1,1
Q9P289,2.7.11.1,1
Q99611,2.7.9.3,1
Q9NY57,2.7.11.1,1
Q86UX6,2.7.11.1,1
Q96SB4,2.7.11.1,1
Q9NP77,3.1.3.16,1
Q9Y2H1,2.7.11.1,1
Q13188,2.7.11.1,1
Q9H5I1,2.1.1.43,1
P46977,2.4.99.18,1
Q8TCJ2,2.4.99.18,1
Q5JPH6,6.1.1.17,1
Q9Y285,6.1.1.20,1
D6RCP7,3.4.19.12,1
D6RA61,3.4.19.12,1
Q8N2K1,2.3.2.23,1
P51784,3.4.19.12,1
Q9HAW9,2.4.1.17,1
Q8TAS1,2.7.11.1,1
Q96T88,2.3.2.27,1
Q14694,3.4.19.12,1
O94966,3.4.19.12,1
Q70CQ2,3.4.19.12,1
P62068,3.4.19.12,1
Q70CQ1,3.4.19.12,1
Q8IYT8,2.7.11.1,1
P35968,2.7.10.1,1
P04818,2.1.1.45,1
Q96LR5,2.3.2.23,1
Q96PU4,2.3.2.27,1
Q6QN14,3.4.19.12,1
C9JLJ4,3.4.19.12,1
D6RJB6,3.4.19.12,1
Q8TEY7,3.4.19.12,1
Q70EL2,3.4.19.12,1
P40818,3.4.19.12,1
Q8TF42,3.1.3.48,1
Q6PHR2,2.7.11.1,1
Q93008,3.4.19.12,1
O60656,2.4.1.17,1
Q16851,2.7.7.9,1
P19971,2.4.2.4,1
Q969T4,2.3.2.23,1
P45974,3.4.19.12,1
Q9BZX2,2.7.1.48,1
P47985,1.10.2.2,1
P19224,2.4.1.17,1
P22309,2.4.1.17,1
O75385,2.7.11.1,1
P07947,2.7.10.2,1
Q8IUH4,2.3.1.225,1
Q8IUH5,2.3.1.225,1
Q9C0B5,2.3.1.225,1
Q9NUE0,2.3.1.225,1
Q8N966,2.3.1.225,1
Q9NPG8,2.3.1.225,1
Q9Y397,2.3.1.225,1
Q8N7E2,2.3.2.27,1
Q8NEG5,2.3.2.27,1
Q96MV8,2.3.1.225,1
Q9H6S0,3.6.4.13,1
Q9NXF8,2.3.1.225,1
P0C7U3,2.3.1.225,1
Q8ND25,2.3.2.27,1
Q9UGI0,3.4.19.12,1
P43403,2.7.10.2,1
Q969W1,2.3.1.225,1
Q6UX98,2.3.1.225,1
Q9UIJ5,2.3.1.225,1
Q9NYG2,2.3.1.225,1
Q9H8X9,2.3.1.225,1
Q5W0Z9,2.3.1.225,1
Q8IVQ6,2.3.1.225,1
Q96JP5,2.3.2.27,1
Q96PM5,2.3.2.27,1
Q96GR4,2.3.1.225,1
Q8IZN3,2.3.1.225,1
Q9H6R6,2.3.1.225,1
Q9ULC8,2.3.1.225,1
Q8WWF5,2.3.2.27,1
Q8NHG8,2.3.2.27,1
Q8WVZ1,2.3.1.225,1
Q8IYP9,2.3.1.225,1
Q8WTX9,2.3.1.225,1
Q9BXL5,0.0.0.0,0
Q9BW72,0.0.0.0,0
Q9BW71,0.0.0.0,0
P10072,0.0.0.0,0
Q96EW2,0.0.0.0,0
Q969F9,0.0.0.0,0
Q9UK76,0.0.0.0,0
Q9NWY4,0.0.0.0,0
Q15651,0.0.0.0,0
Q9BTL4,0.0.0.0,0
Q00056,0.0.0.0,0
P09017,0.0.0.0,0
Q00444,0.0.0.0,0
Q8WWN9,0.0.0.0,0
P48723,0.0.0.0,0
A0A0B4J1V1,0.0.0.0,0
Q9NWW0,0.0.0.0,0
A0A0C4DH38,0.0.0.0,0
Q0VDF9,0.0.0.0,0
Q9H7X7,0.0.0.0,0
A0A0A0MS15,0.0.0.0,0
Q96M11,0.0.0.0,0
A0A0B4J1U7,0.0.0.0,0
P31274,0.0.0.0,0
Q53G44,0.0.0.0,0
Q86VF2,0.0.0.0,0
O95976,0.0.0.0,0
Q8NI38,0.0.0.0,0
P55103,0.0.0.0,0
P09912,0.0.0.0,0
Q75QN2,0.0.0.0,0
Q9Y5U9,0.0.0.0,0
P78413,0.0.0.0,0
P47813,0.0.0.0,0
Q9H2K0,0.0.0.0,0
Q9H665,0.0.0.0,0
Q9H5V7,0.0.0.0,0
P13378,0.0.0.0,0
O14645,0.0.0.0,0
Q6UW32,0.0.0.0,0
Q6WRI0,0.0.0.0,0
Q8N9C0,0.0.0.0,0
Q9NSI5,0.0.0.0,0
Q96G21,0.0.0.0,0
Q8TDY8,0.0.0.0,0
Q8WWZ1,0.0.0.0,0
Q9Y581,0.0.0.0,0
Q9NV88,0.0.0.0,0
Q9UPP2,0.0.0.0,0
Q9P0M4,0.0.0.0,0
Q86U28,0.0.0.0,0
Q9UHF5,0.0.0.0,0
Q8IWB1,0.0.0.0,0
Q53TQ3,0.0.0.0,0
Q9NVR2,0.0.0.0,0
Q96CB8,0.0.0.0,0
P61925,0.0.0.0,0
Q6IPM2,0.0.0.0,0
Q5JU85,0.0.0.0,0
P78415,0.0.0.0,0
Q9BUE6,0.0.0.0,0
Q9NYR9,0.0.0.0,0
Q8N5I3,0.0.0.0,0
Q8NAX2,0.0.0.0,0
Q9UIL4,0.0.0.0,0
Q9NYS0,0.0.0.0,0
P58062,0.0.0.0,0
Q5DT21,0.0.0.0,0
Q5T7N3,0.0.0.0,0
O43448,0.0.0.0,0
P58166,0.0.0.0,0
Q96SI1,0.0.0.0,0
Q96AB3,0.0.0.0,0
Q9NPI9,0.0.0.0,0
Q9H3M0,0.0.0.0,0
Q92952,0.0.0.0,0
Q6H9L7,0.0.0.0,0
Q8N8K9,0.0.0.0,0
Q5JT82,0.0.0.0,0
Q9P2G3,0.0.0.0,0
Q3LI72,0.0.0.0,0
O00515,0.0.0.0,0
C9JR72,0.0.0.0,0
Q6TDP4,0.0.0.0,0
Q14667,0.0.0.0,0
Q8IUG1,0.0.0.0,0
Q3LI66,0.0.0.0,0
Q9H511,0.0.0.0,0
Q8IUC2,0.0.0.0,0
Q53QV2,0.0.0.0,0
Q9Y2U9,0.0.0.0,0
B2CW77,0.0.0.0,0
P60369,0.0.0.0,0
Q96MU8,0.0.0.0,0
Q6L8G4,0.0.0.0,0
Q9BTT6,0.0.0.0,0
Q68G74,0.0.0.0,0
Q8N448,0.0.0.0,0
Q496Y0,0.0.0.0,0
Q8IVV2,0.0.0.0,0
Q15345,0.0.0.0,0
Q6UWM7,0.0.0.0,0
P05162,0.0.0.0,0
P56470,0.0.0.0,0
Q14657,0.0.0.0,0
Q9BRS8,0.0.0.0,0
Q7Z429,0.0.0.0,0
Q9UPQ0,0.0.0.0,0
Q8TEZ7,0.0.0.0,0
O60487,0.0.0.0,0
Q6UWV2,0.0.0.0,0
Q86VD1,0.0.0.0,0
Q8NDC4,0.0.0.0,0
Q8NCK7,0.0.0.0,0
O15375,0.0.0.0,0
Q7L1V2,0.0.0.0,0
Q6ZSM3,0.0.0.0,0
O95907,0.0.0.0,0
Q9Y5U8,0.0.0.0,0
Q9NXK6,0.0.0.0,0
Q96LB2,0.0.0.0,0
Q7Z745,0.0.0.0,0
Q01449,0.0.0.0,0
Q86VX9,0.0.0.0,0
Q7RTY1,0.0.0.0,0
Q96AM1,0.0.0.0,0
Q14728,0.0.0.0,0
Q6NUT3,0.0.0.0,0
Q96A32,0.0.0.0,0
O15374,0.0.0.0,0
O15403,0.0.0.0,0
P59045,0.0.0.0,0
Q9H094,0.0.0.0,0
Q9UDX5,0.0.0.0,0
Q8TBZ2,0.0.0.0,0
Q96JP2,0.0.0.0,0
Q02045,0.0.0.0,0
Q6NZ67,0.0.0.0,0
Q9Y4I5,0.0.0.0,0
Q9BRK3,0.0.0.0,0
Q8TDC0,0.0.0.0,0
Q86W28,0.0.0.0,0
Q9UMX5,0.0.0.0,0
Q9NPC7,0.0.0.0,0
O14513,0.0.0.0,0
P56597,0.0.0.0,0
O95167,0.0.0.0,0
Q16718,0.0.0.0,0
O95178,0.0.0.0,0
Q9UHQ1,0.0.0.0,0
Q9HD90,0.0.0.0,0
P30990,0.0.0.0,0
Q86UQ8,0.0.0.0,0
Q7Z6K4,0.0.0.0,0
O43676,0.0.0.0,0
O96000,0.0.0.0,0
Q96JN8,0.0.0.0,0
Q8NCF5,0.0.0.0,0
O43677,0.0.0.0,0
Q5VXU1,0.0.0.0,0
Q9BVI4,0.0.0.0,0
O94818,0.0.0.0,0
Q9UMY1,0.0.0.0,0
Q9NPE2,0.0.0.0,0
Q92982,0.0.0.0,0
Q9NZG7,0.0.0.0,0
Q13823,0.0.0.0,0
Q9ULR5,0.0.0.0,0
Q9ULE6,0.0.0.0,0
Q6UXH9,0.0.0.0,0
Q8IY49,0.0.0.0,0
Q9Y5I4,0.0.0.0,0
Q9Y5F6,0.0.0.0,0
O60245,0.0.0.0,0
Q9H4Z3,0.0.0.0,0
P57723,0.0.0.0,0
O60330,0.0.0.0,0
Q9UN70,0.0.0.0,0
A6NDB9,0.0.0.0,0
Q96RV3,0.0.0.0,0
